Wavelength,ScaSec,AbsSec,ExtSec
1.0000000E-06,8.9614604E-13,2.0492395E-16,8.9635096E-13
2.5000000E-06,7.5731599E-14,1.3405443E-16,7.5865653E-14
3.4540001E-06,2.4150987E-14,2.5249880E-16,2.4403486E-14
4.3969999E-06,9.2153117E-15,4.2460797E-16,9.6399197E-15
5.3499998E-06,3.9068195E-15,6.8348726E-16,4.5903068E-15
6.2500003E-06,1.8382075E-15,1.0523845E-15,2.8905920E-15
7.3050000E-06,7.5933734E-16,1.7549946E-15,2.5143320E-15
8.3470000E-06,2.7941067E-16,3.0233832E-15,3.3027939E-15
9.3899999E-06,6.0677142E-17,5.6971269E-15,5.7578040E-15
1.0280000E-05,2.4529028E-18,1.1380120E-14,1.1382573E-14
1.1250000E-05,1.5860397E-16,3.6562758E-14,3.6721362E-14
1.2020000E-05,9.4959966E-16,1.7161224E-13,1.7256184E-13
1.2560000E-05,1.4255908E-15,2.8347351E-13,2.8489910E-13
1.3020000E-05,2.6705675E-15,4.4076613E-13,4.4343670E-13
1.3440000E-05,3.1242839E-15,5.0434528E-13,5.0746956E-13
1.3970000E-05,2.2323209E-15,4.0926914E-13,4.1150147E-13
1.4350000E-05,2.5205468E-15,3.8900334E-13,3.9152389E-13
1.4520000E-05,2.3625755E-15,3.2117517E-13,3.2353774E-13
1.4680000E-05,1.8311950E-15,2.2585587E-13,2.2768706E-13
1.4810000E-05,1.4032950E-15,1.6978893E-13,1.7119223E-13
1.5010000E-05,9.2250895E-16,1.1886608E-13,1.1978859E-13
1.5150000E-05,6.9885989E-16,9.9591537E-14,1.0029040E-13
1.5340000E-05,4.8232117E-16,8.4718759E-14,8.5201080E-14
1.5500000E-05,3.4676120E-16,7.9096195E-14,7.9442956E-14
1.5870000E-05,1.6474007E-16,8.6120662E-14,8.6285402E-14
1.6370000E-05,2.2845476E-16,1.7066720E-13,1.7089566E-13
1.6610000E-05,5.4334136E-16,2.6569876E-13,2.6624210E-13
1.7070000E-05,8.8918117E-16,3.0645391E-13,3.0734309E-13
1.7210000E-05,8.5863338E-16,2.7924433E-13,2.8010297E-13
1.7330000E-05,6.6517706E-16,2.3905688E-13,2.3972206E-13
1.7450000E-05,5.9288440E-16,2.4629845E-13,2.4689133E-13
1.7670000E-05,8.0699077E-16,2.9688314E-13,2.9769013E-13
1.7990000E-05,1.1343427E-15,3.3191479E-13,3.3304913E-13
1.8480000E-05,1.4188688E-15,2.4150670E-13,2.4292557E-13
1.9010000E-05,8.4097853E-16,8.9344201E-14,9.0185180E-14
1.9420000E-05,5.8085927E-16,5.1705107E-14,5.2285967E-14
1.9680000E-05,4.7825463E-16,4.0191879E-14,4.0670134E-14
1.9920000E-05,4.1221085E-16,3.4122875E-14,3.4535086E-14
2.0200000E-05,3.5597616E-16,2.9735551E-14,3.0091527E-14
2.0530000E-05,3.1246554E-16,2.4315685E-14,2.4628151E-14
2.0880000E-05,2.6850580E-16,1.5504761E-14,1.5773267E-14
2.1190000E-05,2.3115001E-16,1.1198744E-14,1.1429894E-14
2.1650000E-05,1.9068801E-16,8.6036790E-15,8.7943670E-15
2.2030000E-05,1.6585758E-16,7.3984707E-15,7.5643283E-15
2.2570000E-05,1.3866970E-16,6.1824655E-15,6.3211352E-15
2.3420000E-05,1.0814335E-16,4.8892044E-15,4.9973478E-15
2.4210000E-05,8.7815363E-17,4.0596988E-15,4.1475141E-15
2.5000000E-05,7.2548353E-17,3.4640574E-15,3.5366057E-15
