Wavelength,ScaSec,AbsSec,ExtSec
1.0000000E-06,1.5839317E-12,3.2987370E-16,1.5842616E-12
2.5000000E-06,1.5324536E-13,2.1439066E-16,1.5345975E-13
3.4540001E-06,5.3353743E-14,4.0547160E-16,5.3759215E-14
4.3969999E-06,2.1222267E-14,6.8023584E-16,2.1902503E-14
5.3499998E-06,9.1872345E-15,1.0900216E-15,1.0277256E-14
6.2500003E-06,4.3707512E-15,1.6715432E-15,6.0422944E-15
7.3050000E-06,1.8193099E-15,2.7764374E-15,4.5957473E-15
8.3470000E-06,6.7237358E-16,4.7673961E-15,5.4397697E-15
9.3899999E-06,1.4635665E-16,8.9567292E-15,9.1030858E-15
1.0280000E-05,5.9204312E-18,1.7842260E-14,1.7848181E-14
1.1250000E-05,3.8244410E-16,5.7078013E-14,5.7460457E-14
1.2020000E-05,2.2789098E-15,2.6586838E-13,2.6814729E-13
1.2560000E-05,3.4351255E-15,4.3814072E-13,4.4157585E-13
1.3020000E-05,6.6205649E-15,6.9027397E-13,6.9689453E-13
1.3440000E-05,7.9216986E-15,7.9976248E-13,8.0768418E-13
1.3970000E-05,5.0868420E-15,6.1522117E-13,6.2030801E-13
1.4350000E-05,6.4187498E-15,6.2909209E-13,6.3551084E-13
1.4520000E-05,5.9708317E-15,5.1340757E-13,5.1937840E-13
1.4680000E-05,4.5788766E-15,3.5908382E-13,3.6366269E-13
1.4810000E-05,3.4953754E-15,2.6974741E-13,2.7324278E-13
1.5010000E-05,2.2874209E-15,1.8854640E-13,1.9083382E-13
1.5150000E-05,1.7284384E-15,1.5775118E-13,1.5947962E-13
1.5340000E-05,1.1894056E-15,1.3392626E-13,1.3511567E-13
1.5500000E-05,8.5323340E-16,1.2482918E-13,1.2568241E-13
1.5870000E-05,4.0374896E-16,1.3546396E-13,1.3586771E-13
1.6370000E-05,5.5887912E-16,2.6751978E-13,2.6807866E-13
1.6610000E-05,1.3369159E-15,4.1695725E-13,4.1829417E-13
1.7070000E-05,2.1299332E-15,4.7493766E-13,4.7706760E-13
1.7210000E-05,2.1141561E-15,4.4111000E-13,4.4322415E-13
1.7330000E-05,1.6379474E-15,3.7683609E-13,3.7847403E-13
1.7450000E-05,1.4494323E-15,3.8592430E-13,3.8737373E-13
1.7670000E-05,1.9448336E-15,4.6270586E-13,4.6465069E-13
1.7990000E-05,2.9582954E-15,5.4317727E-13,5.4613556E-13
1.8480000E-05,3.5290474E-15,3.7536426E-13,3.7889331E-13
1.9010000E-05,2.1010670E-15,1.4137190E-13,1.4347296E-13
1.9420000E-05,1.4480320E-15,8.1783020E-14,8.3231052E-14
1.9680000E-05,1.1904573E-15,6.3557687E-14,6.4748145E-14
1.9920000E-05,1.0249621E-15,5.3962676E-14,5.4987638E-14
2.0200000E-05,8.8428937E-16,4.7037750E-14,4.7922040E-14
2.0530000E-05,7.7567528E-16,3.8492114E-14,3.9267789E-14
2.0880000E-05,6.6603374E-16,2.4626418E-14,2.5292451E-14
2.1190000E-05,5.7291660E-16,1.7752641E-14,1.8325558E-14
2.1650000E-05,4.7219707E-16,1.3595381E-14,1.4067578E-14
2.2030000E-05,4.1047552E-16,1.1678168E-14,1.2088643E-14
2.2570000E-05,3.4297140E-16,9.7502308E-15,1.0093202E-14
2.3420000E-05,2.6727768E-16,7.7042628E-15,7.9715405E-15
2.4210000E-05,2.1692927E-16,6.3936963E-15,6.6106256E-15
2.5000000E-05,1.7914722E-16,5.4533004E-15,5.6324476E-15
