Wavelength,CosAv,RaPr
1.0000000E-06,7.7740933E-01,3.3638679E-13
2.5000000E-06,4.1044354E-01,8.4085515E-14
3.4540001E-06,2.3281517E-01,3.9129623E-14
4.3969999E-06,1.4797526E-01,1.8070954E-14
5.3499998E-06,1.0159311E-01,9.1067397E-15
6.2500003E-06,7.5139352E-02,5.6158994E-15
7.3050000E-06,5.5369984E-02,4.4520220E-15
8.3470000E-06,4.2558503E-02,5.3862311E-15
9.3899999E-06,3.3660395E-02,9.0846034E-15
1.0280000E-05,2.8026134E-02,1.7848407E-14
1.1250000E-05,2.3157479E-02,5.7202757E-14
1.2020000E-05,2.0103037E-02,2.6349352E-13
1.2560000E-05,1.8793463E-02,4.4351714E-13
1.3020000E-05,1.7867778E-02,7.2811282E-13
1.3440000E-05,1.7784015E-02,8.6332613E-13
1.3970000E-05,1.6884680E-02,6.0591782E-13
1.4350000E-05,1.4084550E-02,5.8106732E-13
1.4520000E-05,1.3341837E-02,4.7535035E-13
1.4680000E-05,1.2890303E-02,3.3902282E-13
1.4810000E-05,1.2754999E-02,2.5713702E-13
1.5010000E-05,1.2845284E-02,1.8149541E-13
1.5150000E-05,1.2905974E-02,1.5268128E-13
1.5340000E-05,1.2768321E-02,1.3049099E-13
1.5500000E-05,1.2539804E-02,1.2230193E-13
1.5870000E-05,1.1944026E-02,1.3435758E-13
1.6370000E-05,1.1227671E-02,2.7090265E-13
1.6610000E-05,1.1124152E-02,4.2977441E-13
1.7070000E-05,1.0803084E-02,4.6377330E-13
1.7210000E-05,1.0176699E-02,4.2060125E-13
1.7330000E-05,9.9932272E-03,3.6274361E-13
1.7450000E-05,1.0040534E-02,3.7805796E-13
1.7670000E-05,9.9713596E-03,4.4706169E-13
1.7990000E-05,8.9118764E-03,4.9349681E-13
1.8480000E-05,7.7187478E-03,3.5366438E-13
1.9010000E-05,7.1380611E-03,1.3676325E-13
1.9420000E-05,6.7975123E-03,7.9015951E-14
1.9680000E-05,6.5587981E-03,6.1437376E-14
1.9920000E-05,6.3790735E-03,5.2194505E-14
2.0200000E-05,6.3032060E-03,4.5525976E-14
2.0530000E-05,6.2790070E-03,3.7343160E-14
2.0880000E-05,7.0479970E-03,2.4101593E-14
2.1190000E-05,7.9046179E-03,1.7477977E-14
2.1650000E-05,7.2939613E-03,1.3433667E-14
2.2030000E-05,6.8515660E-03,1.1558389E-14
2.2570000E-05,6.3762728E-03,9.6668361E-15
2.3420000E-05,5.8097657E-03,7.6520615E-15
2.4210000E-05,5.3834165E-03,6.3568866E-15
2.5000000E-05,5.0171279E-03,5.4243007E-15
