Wavelength,CosAv,RaPr
1.0000000E-06,7.5705683E-01,2.1791749E-13
2.5000000E-06,2.8322582E-01,5.4416509E-14
3.4540001E-06,1.5539417E-01,2.0650563E-14
4.3969999E-06,9.8202493E-02,8.7349531E-15
5.3499998E-06,6.7261205E-02,4.3275294E-15
6.2500003E-06,4.9676600E-02,2.7992761E-15
7.3050000E-06,3.6562220E-02,2.4865689E-15
8.3470000E-06,2.8076284E-02,3.2949491E-15
9.3899999E-06,2.2189048E-02,5.7564577E-15
1.0280000E-05,1.8464364E-02,1.1382528E-14
1.1250000E-05,1.5243951E-02,3.6718944E-14
1.2020000E-05,1.3236168E-02,1.7254927E-13
1.2560000E-05,1.2451774E-02,2.8488135E-13
1.3020000E-05,1.2118874E-02,4.4340434E-13
1.3440000E-05,1.1848403E-02,5.0743254E-13
1.3970000E-05,9.6914078E-03,4.1147983E-13
1.4350000E-05,8.6493960E-03,3.9150209E-13
1.4520000E-05,8.4349467E-03,3.2351781E-13
1.4680000E-05,8.3729961E-03,2.2767173E-13
1.4810000E-05,8.3626500E-03,1.7118049E-13
1.5010000E-05,8.4770975E-03,1.1978077E-13
1.5150000E-05,8.5380330E-03,1.0028443E-13
1.5340000E-05,8.4454172E-03,8.5197007E-14
1.5500000E-05,8.2798477E-03,7.9440085E-14
1.5870000E-05,7.8574637E-03,8.6284108E-14
1.6370000E-05,7.3729845E-03,1.7089397E-13
1.6610000E-05,7.2865899E-03,2.6623814E-13
1.7070000E-05,6.5478769E-03,3.0733726E-13
1.7210000E-05,6.3148927E-03,2.8009754E-13
1.7330000E-05,6.3223438E-03,2.3971785E-13
1.7450000E-05,6.3397653E-03,2.4688757E-13
1.7670000E-05,6.0417516E-03,2.9768525E-13
1.7990000E-05,5.4324037E-03,3.3304297E-13
1.8480000E-05,4.9908551E-03,2.4291849E-13
1.9010000E-05,4.8227001E-03,9.0181124E-14
1.9420000E-05,4.5270088E-03,5.2283337E-14
1.9680000E-05,4.3278277E-03,4.0668064E-14
1.9920000E-05,4.1849715E-03,3.4533361E-14
2.0200000E-05,4.1320561E-03,3.0090056E-14
2.0530000E-05,4.1312838E-03,2.4626860E-14
2.0880000E-05,4.7639013E-03,1.5771987E-14
2.1190000E-05,5.4609235E-03,1.1428632E-14
2.1650000E-05,4.9972246E-03,8.7934141E-15
2.2030000E-05,4.6653375E-03,7.5635545E-15
2.2570000E-05,4.3167543E-03,6.3205366E-15
2.3420000E-05,3.9122705E-03,4.9969247E-15
2.4210000E-05,3.6138665E-03,4.1471968E-15
2.5000000E-05,3.3606797E-03,3.5363619E-15
