Wavelength,ScaSec,AbsSec,ExtSec
1.0000000E-06,1.5097883E-12,3.2200376E-16,1.5101103E-12
2.5000000E-06,1.4226956E-13,2.0957357E-16,1.4247914E-13
3.4540001E-06,5.0485686E-14,3.9777063E-16,5.0883457E-14
4.3969999E-06,2.0422514E-14,6.7046628E-16,2.1092981E-14
5.3499998E-06,8.9365980E-15,1.0780385E-15,1.0014636E-14
6.2500003E-06,4.2803176E-15,1.6572021E-15,5.9375197E-15
7.3050000E-06,1.7918257E-15,2.7594097E-15,4.5512354E-15
8.3470000E-06,6.6512937E-16,4.7494086E-15,5.4145380E-15
9.3899999E-06,1.4531553E-16,8.9441793E-15,9.0894948E-15
1.0280000E-05,5.8918506E-18,1.7842681E-14,1.7848573E-14
1.1250000E-05,3.7971851E-16,5.6831832E-14,5.7211551E-14
1.2020000E-05,2.2551591E-15,2.6128370E-13,2.6353886E-13
1.2560000E-05,3.5064924E-15,4.4007654E-13,4.4358304E-13
1.3020000E-05,7.1728170E-15,7.2106817E-13,7.2824099E-13
1.3440000E-05,8.9086653E-15,8.5457590E-13,8.6348456E-13
1.3970000E-05,4.9787369E-15,6.0102314E-13,6.0600188E-13
1.4350000E-05,5.7312868E-15,5.7541675E-13,5.8114804E-13
1.4520000E-05,5.2960118E-15,4.7012499E-13,4.7542100E-13
1.4680000E-05,4.1675266E-15,3.3490902E-13,3.3907654E-13
1.4810000E-05,3.2381576E-15,2.5394017E-13,2.5717832E-13
1.5010000E-05,2.1603077E-15,1.7936285E-13,1.8152316E-13
1.5150000E-05,1.6486878E-15,1.5105387E-13,1.5270256E-13
1.5340000E-05,1.1473157E-15,1.2935832E-13,1.3050564E-13
1.5500000E-05,8.3011704E-16,1.2148222E-13,1.2231234E-13
1.5870000E-05,3.9933974E-16,1.3396301E-13,1.3436235E-13
1.6370000E-05,5.6710940E-16,2.7034191E-13,2.7090901E-13
1.6610000E-05,1.3944239E-15,4.2839550E-13,4.2978992E-13
1.7070000E-05,2.0848761E-15,4.6171095E-13,4.6379582E-13
1.7210000E-05,1.9998919E-15,4.1862171E-13,4.2062161E-13
1.7330000E-05,1.5702764E-15,3.6118903E-13,3.6275931E-13
1.7450000E-05,1.4236660E-15,3.7664859E-13,3.7807225E-13
1.7670000E-05,1.8752253E-15,4.4520516E-13,4.4708039E-13
1.7990000E-05,2.6007026E-15,4.9091929E-13,4.9351999E-13
1.8480000E-05,3.0363187E-15,3.5065149E-13,3.5368781E-13
1.9010000E-05,1.9178354E-15,1.3485910E-13,1.3677694E-13
1.9420000E-05,1.3388032E-15,7.7686248E-14,7.9025051E-14
1.9680000E-05,1.1069914E-15,6.0337645E-14,6.1444637E-14
1.9920000E-05,9.5692712E-16,5.1243683E-14,5.2200610E-14
2.0200000E-05,8.2858175E-16,4.4702617E-14,4.5531199E-14
2.0530000E-05,7.2873374E-16,3.6619002E-14,3.7347735E-14
2.0880000E-05,6.2778467E-16,2.3478233E-14,2.4106017E-14
2.1190000E-05,5.4186299E-16,1.6940398E-14,1.7482261E-14
2.1650000E-05,4.4835726E-16,1.2988580E-14,1.3436937E-14
2.2030000E-05,3.9073406E-16,1.1170332E-14,1.1561066E-14
2.2570000E-05,3.2742095E-16,9.3415029E-15,9.6689239E-15
2.3420000E-05,2.5603568E-16,7.3975133E-15,7.6535490E-15
2.4210000E-05,2.0832038E-16,6.1496877E-15,6.3580081E-15
2.5000000E-05,1.7238027E-16,5.2527852E-15,5.4251655E-15
