Wavelength,ScaSec,AbsSec,ExtSec
1.0000000E-06,1.3671616E-11,3.8953520E-15,1.3675511E-11
2.5000000E-06,3.5241919E-12,2.0742260E-15,3.5262661E-12
3.4540001E-06,1.4504567E-12,3.7394362E-15,1.4541962E-12
4.3969999E-06,6.9833958E-13,6.1056447E-15,7.0444523E-13
5.3499998E-06,3.5819362E-13,9.6327542E-15,3.6782637E-13
6.2500003E-06,1.9088420E-13,1.4554868E-14,2.0543907E-13
7.3050000E-06,8.6608659E-14,2.3701819E-14,1.1031048E-13
8.3470000E-06,3.3729655E-14,3.9850863E-14,7.3580518E-14
9.3899999E-06,7.5669397E-15,7.3170331E-14,8.0737271E-14
1.0280000E-05,3.0906515E-16,1.4221455E-13,1.4252362E-13
1.1250000E-05,1.9569531E-14,4.3286121E-13,4.5243075E-13
1.2020000E-05,1.1002908E-13,1.8572591E-12,1.9672882E-12
1.2560000E-05,1.6947414E-13,3.0816476E-12,3.2511218E-12
1.3020000E-05,3.3548242E-13,4.8900883E-12,5.2255707E-12
1.3440000E-05,4.4730343E-13,6.2355408E-12,6.6828443E-12
1.3970000E-05,2.7042048E-13,4.6952918E-12,4.9657122E-12
1.4350000E-05,3.2933593E-13,4.7179669E-12,5.0473028E-12
1.4520000E-05,3.2312922E-13,4.0710820E-12,4.3942112E-12
1.4680000E-05,2.6687824E-13,3.0190619E-12,3.2859401E-12
1.4810000E-05,2.0989773E-13,2.3034476E-12,2.5133453E-12
1.5010000E-05,1.3917422E-13,1.6075712E-12,1.7467454E-12
1.5150000E-05,1.0519836E-13,1.3355766E-12,1.4407749E-12
1.5340000E-05,7.2169349E-14,1.1211799E-12,1.1933493E-12
1.5500000E-05,5.1552895E-14,1.0353817E-12,1.0869346E-12
1.5870000E-05,2.4096168E-14,1.1027636E-12,1.1268598E-12
1.6370000E-05,3.2624756E-14,2.1159560E-12,2.1485807E-12
1.6610000E-05,7.8958360E-14,3.3081812E-12,3.3871396E-12
1.7070000E-05,1.2260504E-13,3.7140500E-12,3.8366550E-12
1.7210000E-05,1.2031893E-13,3.4342768E-12,3.5545957E-12
1.7330000E-05,9.5405892E-14,2.9794242E-12,3.0748301E-12
1.7450000E-05,8.5332150E-14,3.0609374E-12,3.1462695E-12
1.7670000E-05,1.1146962E-13,3.5990249E-12,3.7104946E-12
1.7990000E-05,1.5730356E-13,4.0429687E-12,4.2002722E-12
1.8480000E-05,2.0171532E-13,3.1872034E-12,3.3889187E-12
1.9010000E-05,1.3285108E-13,1.2628664E-12,1.3957175E-12
1.9420000E-05,9.1160225E-14,7.1115135E-13,8.0231158E-13
1.9680000E-05,7.4635948E-14,5.4753243E-13,6.2216838E-13
1.9920000E-05,6.4072774E-14,4.6377319E-13,5.2784596E-13
2.0200000E-05,5.5145192E-14,4.0538589E-13,4.6053108E-13
2.0530000E-05,4.8312299E-14,3.3566357E-13,3.8397587E-13
2.0880000E-05,4.1471453E-14,2.2685438E-13,2.6832584E-13
2.1190000E-05,3.5647469E-14,1.5905346E-13,1.9470093E-13
2.1650000E-05,2.9331486E-14,1.1552192E-13,1.4485341E-13
2.2030000E-05,2.5474272E-14,9.7519137E-14,1.2299341E-13
2.2570000E-05,2.1267893E-14,8.0394083E-14,1.0166198E-13
2.3420000E-05,1.6564023E-14,6.2863465E-14,7.9427488E-14
2.4210000E-05,1.3441448E-14,5.1859035E-14,6.5300482E-14
2.5000000E-05,1.1100761E-14,4.4042161E-14,5.5142922E-14
