Wavelength,ScaSec,AbsSec,ExtSec
1.0000000E-06,8.9640297E-12,2.2993837E-15,8.9663291E-12
2.5000000E-06,2.0228267E-12,1.3181115E-15,2.0241448E-12
3.4540001E-06,8.1275861E-13,2.3704735E-15,8.1512908E-13
4.3969999E-06,3.8372411E-13,3.9006503E-15,3.8762476E-13
5.3499998E-06,1.8598540E-13,6.1496050E-15,1.9213501E-13
6.2500003E-06,9.4115751E-14,9.2575911E-15,1.0337334E-13
7.3050000E-06,4.0833208E-14,1.5038702E-14,5.5871910E-14
8.3470000E-06,1.5432620E-14,2.5284933E-14,4.0717553E-14
9.3899999E-06,3.3940244E-15,4.6518447E-14,4.9912471E-14
1.0280000E-05,1.3725122E-16,9.0804376E-14,9.0941627E-14
1.1250000E-05,8.7083346E-15,2.8078800E-13,2.8949633E-13
1.2020000E-05,4.9895315E-14,1.2484824E-12,1.2983777E-12
1.2560000E-05,7.4777430E-14,2.0510496E-12,2.1258270E-12
1.3020000E-05,1.3795014E-13,3.1463726E-12,3.2843227E-12
1.3440000E-05,1.6964692E-13,3.7931212E-12,3.9627682E-12
1.3970000E-05,1.2802383E-13,3.2052402E-12,3.3332640E-12
1.4350000E-05,1.5200354E-13,3.1989755E-12,3.3509790E-12
1.4520000E-05,1.4985970E-13,2.7733902E-12,2.9232499E-12
1.4680000E-05,1.2059659E-13,2.0149939E-12,2.1355905E-12
1.4810000E-05,9.2957027E-14,1.5181056E-12,1.6110626E-12
1.5010000E-05,6.0556003E-14,1.0493227E-12,1.1098787E-12
1.5150000E-05,4.5444569E-14,8.6848443E-13,9.1392900E-13
1.5340000E-05,3.0958145E-14,7.2615041E-13,7.5710856E-13
1.5500000E-05,2.2009401E-14,6.6834821E-13,6.9035761E-13
1.5870000E-05,1.0205034E-14,7.0693564E-13,7.1714068E-13
1.6370000E-05,1.3631494E-14,1.3465643E-12,1.3601958E-12
1.6610000E-05,3.2063871E-14,2.0770548E-12,2.1091187E-12
1.7070000E-05,5.3995230E-14,2.4650990E-12,2.5190943E-12
1.7210000E-05,5.3147951E-14,2.2870040E-12,2.3401519E-12
1.7330000E-05,4.1464379E-14,1.9670195E-12,2.0084839E-12
1.7450000E-05,3.6527125E-14,2.0007313E-12,2.0372585E-12
1.7670000E-05,4.9401373E-14,2.3984741E-12,2.4478755E-12
1.7990000E-05,7.0361179E-14,2.7228141E-12,2.7931752E-12
1.8480000E-05,9.6103890E-14,2.1751281E-12,2.2712320E-12
1.9010000E-05,5.8066336E-14,8.1361278E-13,8.7167911E-13
1.9420000E-05,3.9467900E-14,4.6185961E-13,5.0132751E-13
1.9680000E-05,3.2222552E-14,3.5644681E-13,3.8866936E-13
1.9920000E-05,2.7608860E-14,3.0193309E-13,3.2954195E-13
2.0200000E-05,2.3718320E-14,2.6348985E-13,2.8720817E-13
2.0530000E-05,2.0745525E-14,2.1728524E-13,2.3803076E-13
2.0880000E-05,1.7765538E-14,1.4456100E-13,1.6232654E-13
2.1190000E-05,1.5236165E-14,1.0196829E-13,1.1720445E-13
2.1650000E-05,1.2508411E-14,7.4993158E-14,8.7501570E-14
2.2030000E-05,1.0846845E-14,6.3531520E-14,7.4378365E-14
2.2570000E-05,9.0387426E-15,5.2480175E-14,6.1518918E-14
2.3420000E-05,7.0226080E-15,4.1078315E-14,4.8100923E-14
2.4210000E-05,5.6880540E-15,3.3895684E-14,3.9583738E-14
2.5000000E-05,4.6900531E-15,2.8787207E-14,3.3477261E-14
