Wavelength,CosAv,RaPr
1.0000000E-06,7.5151531E-01,3.4010825E-12
2.5000000E-06,7.4416598E-01,9.0368241E-13
3.4540001E-06,6.4294831E-01,5.2162746E-13
4.3969999E-06,4.9641843E-01,3.5777658E-13
5.3499998E-06,3.6716194E-01,2.3631131E-13
6.2500003E-06,2.8023316E-01,1.5194698E-13
7.3050000E-06,2.1097566E-01,9.2038159E-14
8.3470000E-06,1.6458743E-01,6.8029041E-14
9.3899999E-06,1.3179860E-01,7.9739959E-14
1.0280000E-05,1.1091241E-01,1.4248934E-13
1.1250000E-05,9.3162600E-02,4.5060760E-13
1.2020000E-05,8.3103503E-02,1.9581444E-12
1.2560000E-05,7.8614552E-02,3.2377986E-12
1.3020000E-05,7.6181668E-02,5.2000131E-12
1.3440000E-05,7.4917432E-02,6.6493334E-12
1.3970000E-05,6.9099062E-02,4.9470264E-12
1.4350000E-05,5.6821530E-02,5.0285895E-12
1.4520000E-05,5.2852375E-02,4.3771331E-12
1.4680000E-05,5.0237458E-02,3.2725329E-12
1.4810000E-05,4.9488191E-02,2.5029579E-12
1.5010000E-05,4.9911826E-02,1.7397989E-12
1.5150000E-05,5.0289086E-02,1.4354846E-12
1.5340000E-05,4.9966086E-02,1.1897433E-12
1.5500000E-05,4.9268471E-02,1.0843946E-12
1.5870000E-05,4.7388821E-02,1.1257179E-12
1.6370000E-05,4.5356468E-02,2.1471010E-12
1.6610000E-05,4.5302595E-02,3.3835625E-12
1.7070000E-05,4.3520374E-02,3.8313192E-12
1.7210000E-05,4.0714021E-02,3.5496970E-12
1.7330000E-05,3.9861046E-02,3.0710271E-12
1.7450000E-05,4.0236038E-02,3.1428361E-12
1.7670000E-05,4.0070628E-02,3.7060279E-12
1.7990000E-05,3.5610730E-02,4.1946705E-12
1.8480000E-05,2.9921947E-02,3.3828830E-12
1.9010000E-05,2.7253300E-02,1.3920968E-12
1.9420000E-05,2.6135951E-02,7.9992902E-13
1.9680000E-05,2.5323252E-02,6.2027835E-13
1.9920000E-05,2.4699370E-02,5.2626340E-13
2.0200000E-05,2.4450282E-02,4.5918277E-13
2.0530000E-05,2.4359849E-02,3.8279899E-13
2.0880000E-05,2.7287669E-02,2.6719418E-13
2.1190000E-05,3.0938176E-02,1.9359806E-13
2.1650000E-05,2.8603245E-02,1.4401443E-13
2.2030000E-05,2.6884009E-02,1.2230856E-13
2.2570000E-05,2.5046422E-02,1.0112929E-13
2.3420000E-05,2.2861082E-02,7.9048817E-14
2.4210000E-05,2.1214186E-02,6.5015333E-14
2.5000000E-05,1.9795685E-02,5.4923175E-14
