Wavelength,CosAv,RaPr
1.0000000E-06,7.7044915E-01,2.0600001E-12
2.5000000E-06,6.9598881E-01,6.1628005E-13
3.4540001E-06,5.2217318E-01,3.9072834E-13
4.3969999E-06,3.5648721E-01,2.5083202E-13
5.3499998E-06,2.5093810E-01,1.4546419E-13
6.2500003E-06,1.8840026E-01,8.5641910E-14
7.3050000E-06,1.4071326E-01,5.0126137E-14
8.3470000E-06,1.0932406E-01,3.9030397E-14
9.3899999E-06,8.7296273E-02,4.9616186E-14
1.0280000E-05,7.3307092E-02,9.0931565E-14
1.1250000E-05,6.1387566E-02,2.8896175E-13
1.2020000E-05,5.4484482E-02,1.2956592E-12
1.2560000E-05,5.1582858E-02,2.1219698E-12
1.3020000E-05,5.0717688E-02,3.2773262E-12
1.3440000E-05,4.8950266E-02,3.9544639E-12
1.3970000E-05,3.9348986E-02,3.3282264E-12
1.4350000E-05,3.4426097E-02,3.3457461E-12
1.4520000E-05,3.3049293E-02,2.9182972E-12
1.4680000E-05,3.2489265E-02,2.1316724E-12
1.4810000E-05,3.2423516E-02,1.6080486E-12
1.5010000E-05,3.2978730E-02,1.1078816E-12
1.5150000E-05,3.3319594E-02,9.1241480E-13
1.5340000E-05,3.3094097E-02,7.5608402E-13
1.5500000E-05,3.2560372E-02,6.8964097E-13
1.5870000E-05,3.1156336E-02,7.1682273E-13
1.6370000E-05,2.9653308E-02,1.3597915E-12
1.6610000E-05,2.9463399E-02,2.1081740E-12
1.7070000E-05,2.6238095E-02,2.5176775E-12
1.7210000E-05,2.5132154E-02,2.3388162E-12
1.7330000E-05,2.5118200E-02,2.0074423E-12
1.7450000E-05,2.5298134E-02,2.0363344E-12
1.7670000E-05,2.4160020E-02,2.4466819E-12
1.7990000E-05,2.1557970E-02,2.7916584E-12
1.8480000E-05,1.9229022E-02,2.2693840E-12
1.9010000E-05,1.8570728E-02,8.7060078E-13
1.9420000E-05,1.7530921E-02,5.0063560E-13
1.9680000E-05,1.6809711E-02,3.8812771E-13
1.9920000E-05,1.6286028E-02,3.2909231E-13
2.0200000E-05,1.6094842E-02,2.8682643E-13
2.0530000E-05,1.6082125E-02,2.3769713E-13
2.0880000E-05,1.8498624E-02,1.6199790E-13
2.1190000E-05,2.1473894E-02,1.1687727E-13
2.1650000E-05,1.9684355E-02,8.7255350E-14
2.2030000E-05,1.8380442E-02,7.4178995E-14
2.2570000E-05,1.7017959E-02,6.1365097E-14
2.3420000E-05,1.5442427E-02,4.7992477E-14
2.4210000E-05,1.4280257E-02,3.9502511E-14
2.5000000E-05,1.3292840E-02,3.3414916E-14
