Wavelength,ScaSec,AbsSec,ExtSec
1.0000000E-06,1.2847182E-11,3.9133684E-15,1.2851095E-11
2.5000000E-06,3.7076551E-12,2.1140530E-15,3.7097691E-12
3.4540001E-06,1.5454400E-12,3.8204460E-15,1.5492605E-12
4.3969999E-06,7.5063766E-13,6.2290683E-15,7.5686672E-13
5.3499998E-06,3.8351327E-13,9.8179352E-15,3.9333121E-13
6.2500003E-06,2.0213803E-13,1.4788483E-14,2.1692651E-13
7.3050000E-06,9.0516107E-14,2.3973401E-14,1.1448951E-13
8.3470000E-06,3.4866086E-14,4.0128920E-14,7.4995006E-14
9.3899999E-06,7.7511812E-15,7.3372729E-14,8.1123910E-14
1.0280000E-05,3.1463529E-16,1.4220021E-13,1.4251485E-13
1.1250000E-05,1.9883309E-14,4.3383039E-13,4.5371370E-13
1.2020000E-05,1.1178142E-13,1.8820174E-12,1.9937989E-12
1.2560000E-05,1.6746207E-13,3.0675064E-12,3.2349684E-12
1.3020000E-05,3.1438121E-13,4.7159961E-12,5.0303773E-12
1.3440000E-05,4.0021828E-13,5.8301933E-12,6.2304116E-12
1.3970000E-05,2.7198071E-13,4.6975581E-12,4.9695388E-12
1.4350000E-05,3.6394070E-13,5.0538849E-12,5.4178256E-12
1.4520000E-05,3.6626111E-13,4.4314851E-12,4.7977462E-12
1.4680000E-05,2.9769678E-13,3.2574254E-12,3.5551222E-12
1.4810000E-05,2.3029315E-13,2.4659929E-12,2.6962861E-12
1.5010000E-05,1.4958947E-13,1.7018185E-12,1.8514080E-12
1.5150000E-05,1.1180001E-13,1.4032215E-12,1.5150215E-12
1.5340000E-05,7.5705419E-14,1.1661659E-12,1.2418713E-12
1.5500000E-05,5.3539967E-14,1.0676159E-12,1.1211559E-12
1.5870000E-05,2.4549846E-14,1.1165935E-12,1.1411433E-12
1.6370000E-05,3.2321527E-14,2.0931424E-12,2.1254639E-12
1.6610000E-05,7.6028826E-14,3.2169652E-12,3.2929940E-12
1.7070000E-05,1.2452894E-13,3.7765979E-12,3.9011268E-12
1.7210000E-05,1.2689829E-13,3.5884973E-12,3.7153956E-12
1.7330000E-05,9.9689110E-14,3.0950565E-12,3.1947456E-12
1.7450000E-05,8.6931181E-14,3.1204625E-12,3.2073937E-12
1.7670000E-05,1.1492681E-13,3.6982939E-12,3.8132207E-12
1.7990000E-05,1.7712964E-13,4.4086295E-12,4.5857591E-12
1.8480000E-05,2.4006621E-13,3.4717324E-12,3.7117986E-12
1.9010000E-05,1.4825563E-13,1.3411326E-12,1.4893883E-12
1.9420000E-05,1.0014898E-13,7.5645000E-13,8.5659898E-13
1.9680000E-05,8.1410474E-14,5.8191896E-13,6.6332944E-13
1.9920000E-05,6.9537098E-14,4.9216292E-13,5.6170002E-13
2.0200000E-05,5.9574982E-14,4.2930875E-13,4.8888373E-13
2.0530000E-05,5.2016710E-14,3.5462055E-13,4.0663726E-13
2.0880000E-05,4.4470691E-14,2.3840640E-13,2.8287709E-13
2.1190000E-05,3.8065360E-14,1.6707762E-13,2.0514298E-13
2.1650000E-05,3.1169358E-14,1.2137193E-13,1.5254129E-13
2.2030000E-05,2.6985751E-14,1.0234909E-13,1.2933484E-13
2.2570000E-05,2.2448554E-14,8.4224223E-14,1.0667278E-13
2.3420000E-05,1.7408167E-14,6.5687674E-14,8.3095841E-14
2.4210000E-05,1.4082213E-14,5.4076725E-14,6.8158937E-14
2.5000000E-05,1.1600514E-14,4.5845159E-14,5.7445673E-14
