Wavelength,CosAv,RaPr
1.0000000E-06,7.5368576E-01,3.1683572E-12
2.5000000E-06,7.4965424E-01,9.3030980E-13
3.4540001E-06,6.3321529E-01,5.7066421E-13
4.3969999E-06,4.7191909E-01,4.0262648E-13
5.3499998E-06,3.4224230E-01,2.6207674E-13
6.2500003E-06,2.5958433E-01,1.6445465E-13
7.3050000E-06,1.9512270E-01,9.6827760E-14
8.3470000E-06,1.5231249E-01,6.9684465E-14
9.3899999E-06,1.2216005E-01,8.0177025E-14
1.0280000E-05,1.0300791E-01,1.4248244E-13
1.1250000E-05,8.6800813E-02,4.5198781E-13
1.2020000E-05,7.7685141E-02,1.9851151E-12
1.2560000E-05,7.3574078E-02,3.2226476E-12
1.3020000E-05,7.1737208E-02,5.0078245E-12
1.3440000E-05,7.0251203E-02,6.2022958E-12
1.3970000E-05,6.1577087E-02,4.9527910E-12
1.4350000E-05,4.7924948E-02,5.4003838E-12
1.4520000E-05,4.5545700E-02,4.7810645E-12
1.4680000E-05,4.4784458E-02,3.5417900E-12
1.4810000E-05,4.4696969E-02,2.6859926E-12
1.5010000E-05,4.5455944E-02,1.8446083E-12
1.5150000E-05,4.5941177E-02,1.5098853E-12
1.5340000E-05,4.5768418E-02,1.2384064E-12
1.5500000E-05,4.5211443E-02,1.1187352E-12
1.5870000E-05,4.3666730E-02,1.1400713E-12
1.6370000E-05,4.2061245E-02,2.1241044E-12
1.6610000E-05,4.2069444E-02,3.2897955E-12
1.7070000E-05,3.8702335E-02,3.8963073E-12
1.7210000E-05,3.5762084E-02,3.7108574E-12
1.7330000E-05,3.5559258E-02,3.1912007E-12
1.7450000E-05,3.6234897E-02,3.2042437E-12
1.7670000E-05,3.5315330E-02,3.8091621E-12
1.7990000E-05,2.9417422E-02,4.5805484E-12
1.8480000E-05,2.6419864E-02,3.7054561E-12
1.9010000E-05,2.5448561E-02,1.4856154E-12
1.9420000E-05,2.4193497E-02,8.5417603E-13
1.9680000E-05,2.3331147E-02,6.6143004E-13
1.9920000E-05,2.2691544E-02,5.6012211E-13
2.0200000E-05,2.2432649E-02,4.8754730E-13
2.0530000E-05,2.2356953E-02,4.0547432E-13
2.0880000E-05,2.5191194E-02,2.8175682E-13
2.1190000E-05,2.8716747E-02,2.0404986E-13
2.1650000E-05,2.6493073E-02,1.5171551E-13
2.2030000E-05,2.4863223E-02,1.2866389E-13
2.2570000E-05,2.3133564E-02,1.0615346E-13
2.3420000E-05,2.1093162E-02,8.2728648E-14
2.4210000E-05,1.9564078E-02,6.7883432E-14
2.5000000E-05,1.8251146E-02,5.7233950E-14
