Wavelength,CosAv,RaPr
1.0000000E-06,8.0094389E-01,1.6706680E-12
1.0500000E-06,8.0343871E-01,1.5939029E-12
1.1100000E-06,8.0340368E-01,1.5173627E-12
1.1800000E-06,8.0314111E-01,1.4214691E-12
1.2500000E-06,8.0391106E-01,1.3181547E-12
1.3300000E-06,8.0484015E-01,1.2051015E-12
1.4300000E-06,8.0395855E-01,1.0819658E-12
1.5400000E-06,7.9844172E-01,9.7691965E-13
1.6700000E-06,7.8875088E-01,8.7709287E-13
1.8200000E-06,7.7753378E-01,7.7206874E-13
2.0000000E-06,7.6158738E-01,6.6831935E-13
2.1100000E-06,7.4932239E-01,6.1926817E-13
2.2200000E-06,7.3557892E-01,5.7792319E-13
2.3500000E-06,7.1816837E-01,5.3519105E-13
2.5000000E-06,6.9686931E-01,4.9168618E-13
2.6700000E-06,6.7072202E-01,4.4921311E-13
2.8600001E-06,6.3820468E-01,4.1019380E-13
3.0800000E-06,5.9639196E-01,3.7423393E-13
3.3300001E-06,5.4581432E-01,3.4065887E-13
3.6400000E-06,4.8368987E-01,3.0384938E-13
4.0000001E-06,4.1808182E-01,2.6406383E-13
4.4400001E-06,3.5085794E-01,2.1988134E-13
4.9999998E-06,2.8444207E-01,1.7474295E-13
5.7100001E-06,2.2339840E-01,1.3883143E-13
6.6700000E-06,1.6752775E-01,1.3003168E-13
8.0000000E-06,1.1927178E-01,2.3526594E-13
9.4849999E-06,8.7272346E-02,1.0584072E-12
1.0000000E-05,7.8196125E-02,1.1800184E-12
1.0420000E-05,7.1614536E-02,9.8584591E-13
1.1100000E-05,6.2949321E-02,6.3284091E-13
1.2500000E-05,4.9746712E-02,2.1951231E-13
1.2990000E-05,4.6145468E-02,1.9666973E-13
1.4300000E-05,3.8225527E-02,2.3584415E-13
1.6700000E-05,2.8168872E-02,5.2476690E-13
2.0000000E-05,1.9712789E-02,4.4311181E-13
2.2200000E-05,1.6032681E-02,4.1015018E-13
2.5000000E-05,1.2694072E-02,3.2054020E-13
