Wavelength,CosAv,RaPr
1.0000000E-06,7.8931531E-01,2.6210096E-12
1.0500000E-06,7.9210143E-01,2.5308013E-12
1.1100000E-06,7.9247213E-01,2.4439786E-12
1.1800000E-06,7.9394529E-01,2.3274556E-12
1.2500000E-06,7.9827906E-01,2.1740371E-12
1.3300000E-06,8.0410837E-01,1.9809691E-12
1.4300000E-06,8.0879028E-01,1.7663759E-12
1.5400000E-06,8.1096865E-01,1.5649456E-12
1.6700000E-06,8.0874225E-01,1.3761768E-12
1.8200000E-06,8.0270072E-01,1.2049423E-12
2.0000000E-06,7.9466563E-01,1.0302954E-12
2.1100000E-06,7.8789675E-01,9.4454045E-13
2.2200000E-06,7.7910943E-01,8.7542342E-13
2.3500000E-06,7.6687634E-01,8.0905481E-13
2.5000000E-06,7.5198722E-01,7.4306264E-13
2.6700000E-06,7.3507521E-01,6.7534067E-13
2.8600001E-06,7.1501559E-01,6.0951662E-13
3.0800000E-06,6.8807894E-01,5.4900873E-13
3.3300001E-06,6.5175796E-01,4.9756659E-13
3.6400000E-06,6.0046184E-01,4.4972421E-13
4.0000001E-06,5.3778007E-01,4.0455879E-13
4.4400001E-06,4.6464280E-01,3.5496945E-13
4.9999998E-06,3.8469019E-01,2.9901831E-13
5.7100001E-06,3.0619884E-01,2.4677688E-13
6.6700000E-06,2.3171945E-01,2.2671592E-13
8.0000000E-06,1.6637239E-01,3.8032599E-13
9.4849999E-06,1.2327738E-01,1.6585679E-12
1.0000000E-05,1.1024495E-01,1.8718347E-12
1.0420000E-05,1.0048207E-01,1.5833497E-12
1.1100000E-05,8.7884517E-02,1.0287772E-12
1.2500000E-05,6.9344309E-02,3.6092845E-13
1.2990000E-05,6.4426734E-02,3.2044129E-13
1.4300000E-05,5.3507135E-02,3.7757838E-13
1.6700000E-05,3.9561693E-02,8.2972221E-13
2.0000000E-05,2.7589032E-02,7.0284111E-13
2.2200000E-05,2.2420717E-02,6.5005554E-13
2.5000000E-05,1.7718701E-02,5.0804014E-13
