Wavelength,ScaSec,AbsSec,ExtSec
1.0000000E-06,8.3741821E-12,3.7358547E-15,8.3779179E-12
1.0500000E-06,8.0914008E-12,3.4467828E-15,8.0948476E-12
1.1100000E-06,7.7007580E-12,3.4220327E-15,7.7041800E-12
1.1800000E-06,7.2036343E-12,3.3696486E-15,7.2070040E-12
1.2500000E-06,6.7052371E-12,3.3318301E-15,6.7085689E-12
1.3300000E-06,6.1581947E-12,3.2691801E-15,6.1614639E-12
1.4300000E-06,5.5010973E-12,3.5227317E-15,5.5046200E-12
1.5400000E-06,4.8285537E-12,3.6846703E-15,4.8322384E-12
1.6700000E-06,4.1327457E-12,4.0539872E-15,4.1367997E-12
1.8200000E-06,3.4504176E-12,4.4673719E-15,3.4548850E-12
2.0000000E-06,2.7818626E-12,5.0882010E-15,2.7869508E-12
2.1100000E-06,2.4484109E-12,5.5063755E-15,2.4539172E-12
2.2200000E-06,2.1630410E-12,5.9695377E-15,2.1690106E-12
2.3500000E-06,1.8757791E-12,6.5371647E-15,1.8823162E-12
2.5000000E-06,1.5980069E-12,7.2812355E-15,1.6052881E-12
2.6700000E-06,1.3395209E-12,8.1383655E-15,1.3476593E-12
2.8600001E-06,1.1084166E-12,9.1738554E-15,1.1175905E-12
3.0800000E-06,9.0100913E-13,1.0579409E-14,9.1158853E-13
3.3300001E-06,7.2295478E-13,1.2303158E-14,7.3525794E-13
3.6400000E-06,5.5996050E-13,1.4736103E-14,5.7469661E-13
4.0000001E-06,4.2255969E-13,1.8168667E-14,4.4072835E-13
4.4400001E-06,3.0298543E-13,2.3200756E-14,3.2618619E-13
4.9999998E-06,2.0012334E-13,3.1543107E-14,2.3166645E-13
5.7100001E-06,1.1883284E-13,4.6545662E-14,1.6537850E-13
6.6700000E-06,5.7749439E-14,8.1956872E-14,1.3970631E-13
8.0000000E-06,1.8268871E-14,2.1917603E-13,2.3744490E-13
9.4849999E-06,2.7127951E-14,1.0336468E-12,1.0607748E-12
1.0000000E-05,4.4144011E-14,1.1393263E-12,1.1834703E-12
1.0420000E-05,4.4171077E-14,9.4483812E-13,9.8900920E-13
1.1100000E-05,3.3285901E-14,6.0165033E-13,6.3493623E-13
1.2500000E-05,1.5574305E-14,2.0471277E-13,2.2028708E-13
1.2990000E-05,1.0818463E-14,1.8635049E-13,1.9716895E-13
1.4300000E-05,5.7296201E-15,2.3033355E-13,2.3606317E-13
1.6700000E-05,4.3111840E-15,5.2057715E-13,5.2488834E-13
2.0000000E-05,3.7276201E-15,4.3945767E-13,4.4318529E-13
2.2200000E-05,2.8931246E-15,4.0730344E-13,4.1019657E-13
2.5000000E-05,2.1211714E-15,3.1844596E-13,3.2056713E-13
