Wavelength,CosAv,RaPr
1.0000000E-06,7.8495011E-01,2.7842143E-12
1.0500000E-06,7.8554006E-01,2.6879588E-12
1.1100000E-06,7.8152415E-01,2.6106116E-12
1.1800000E-06,7.7979738E-01,2.4953538E-12
1.2500000E-06,7.8672139E-01,2.2990837E-12
1.3300000E-06,7.9507097E-01,2.0569110E-12
1.4300000E-06,8.0142286E-01,1.7969709E-12
1.5400000E-06,8.0688663E-01,1.5476159E-12
1.6700000E-06,8.0550030E-01,1.3402734E-12
1.8200000E-06,7.9593823E-01,1.1869600E-12
2.0000000E-06,7.8347699E-01,1.0347318E-12
2.1100000E-06,7.7634002E-01,9.4918406E-13
2.2200000E-06,7.6858264E-01,8.7422675E-13
2.3500000E-06,7.5849958E-01,7.9821473E-13
2.5000000E-06,7.4641294E-01,7.2178865E-13
2.6700000E-06,7.3242515E-01,6.4585917E-13
2.8600001E-06,7.1520049E-01,5.7528617E-13
3.0800000E-06,6.9149015E-01,5.1228413E-13
3.3300001E-06,6.5947541E-01,4.5885824E-13
3.6400000E-06,6.1427434E-01,4.0911897E-13
4.0000001E-06,5.5788410E-01,3.6424205E-13
4.4400001E-06,4.8921293E-01,3.1915985E-13
4.9999998E-06,4.1023319E-01,2.7199451E-13
5.7100001E-06,3.2926758E-01,2.2988577E-13
6.6700000E-06,2.5018018E-01,2.1823874E-13
8.0000000E-06,1.7965948E-01,3.7640786E-13
9.4849999E-06,1.3307263E-01,1.6555370E-12
1.0000000E-05,1.1946626E-01,1.8546393E-12
1.0420000E-05,1.0908398E-01,1.5588570E-12
1.1100000E-05,9.5445944E-02,1.0093219E-12
1.2500000E-05,7.5219041E-02,3.5487759E-13
1.2990000E-05,6.9822501E-02,3.1609425E-13
1.4300000E-05,5.7918609E-02,3.7406283E-13
1.6700000E-05,4.2807104E-02,8.2474141E-13
2.0000000E-05,2.9917170E-02,6.9351788E-13
2.2200000E-05,2.4325713E-02,6.4001601E-13
2.5000000E-05,1.9232317E-02,4.9825574E-13
