Wavelength,ScaSec,AbsSec,ExtSec
1.0000000E-06,1.2917995E-11,6.2007576E-15,1.2924196E-11
1.0500000E-06,1.2507305E-11,5.6428344E-15,1.2512948E-11
1.1100000E-06,1.1923974E-11,5.5112028E-15,1.1929486E-11
1.1800000E-06,1.1307674E-11,5.3744631E-15,1.1313048E-11
1.2500000E-06,1.0754591E-11,5.3593710E-15,1.0759951E-11
1.3300000E-06,1.0011470E-11,5.2700590E-15,1.0016740E-11
1.4300000E-06,9.0207580E-12,5.6545364E-15,9.0264125E-12
1.5400000E-06,7.9834049E-12,5.9137006E-15,7.9893186E-12
1.6700000E-06,6.8577196E-12,6.4489841E-15,6.8641686E-12
1.8200000E-06,5.7822006E-12,7.0338756E-15,5.7892345E-12
2.0000000E-06,4.7418896E-12,8.0035807E-15,4.7498932E-12
2.1100000E-06,4.2051079E-12,8.6697027E-15,4.2137776E-12
2.2200000E-06,3.7370861E-12,9.4001597E-15,3.7464863E-12
2.3500000E-06,3.2626181E-12,1.0291076E-14,3.2729092E-12
2.5000000E-06,2.8011049E-12,1.1464680E-14,2.8125696E-12
2.6700000E-06,2.3658165E-12,1.2826179E-14,2.3786427E-12
2.8600001E-06,1.9691492E-12,1.4473459E-14,1.9836226E-12
3.0800000E-06,1.6063809E-12,1.6699807E-14,1.6230807E-12
3.3300001E-06,1.2905056E-12,1.9409367E-14,1.3099149E-12
3.6400000E-06,1.0005097E-12,2.3196690E-14,1.0237064E-12
4.0000001E-06,7.5937434E-13,2.8510578E-14,7.8788492E-13
4.4400001E-06,5.5374074E-13,3.6316233E-14,5.9005698E-13
4.9999998E-06,3.7749082E-13,4.9362958E-14,4.2685377E-13
5.7100001E-06,2.3391376E-13,7.2992222E-14,3.0690598E-13
6.6700000E-06,1.1923323E-13,1.2883530E-13,2.4806853E-13
8.0000000E-06,3.9366421E-14,3.4411398E-13,3.8348041E-13
9.4849999E-06,5.9597579E-14,1.6038702E-12,1.6634678E-12
1.0000000E-05,9.8039099E-14,1.7683125E-12,1.8663516E-12
1.0420000E-05,9.9168685E-14,1.4705060E-12,1.5696747E-12
1.1100000E-05,7.5868042E-14,9.4069515E-13,1.0165632E-12
1.2500000E-05,3.6189605E-14,3.2141013E-13,3.5759974E-13
1.2990000E-05,2.5237032E-14,2.9261933E-13,3.1785636E-13
1.4300000E-05,1.3471702E-14,3.6137139E-13,3.7484309E-13
1.6700000E-05,1.0240006E-14,8.1493975E-13,8.2517975E-13
2.0000000E-05,8.9157534E-15,6.8486887E-13,6.9378462E-13
2.2200000E-05,6.9371746E-15,6.3324758E-13,6.4018476E-13
2.5000000E-05,5.0897144E-15,4.9326392E-13,4.9835363E-13
