Wavelength,CosAv,RaPr
1.0000000E-06,7.9409635E-01,2.6312944E-13
1.0500000E-06,7.8810312E-01,2.4324429E-13
1.1100000E-06,7.7869735E-01,2.2403230E-13
1.1800000E-06,7.6551169E-01,2.0621228E-13
1.2500000E-06,7.5158994E-01,1.9085832E-13
1.3300000E-06,7.3568795E-01,1.7480975E-13
1.4300000E-06,7.1473395E-01,1.5725754E-13
1.5400000E-06,6.8802394E-01,1.4186138E-13
1.6700000E-06,6.5042389E-01,1.2835604E-13
1.8200000E-06,6.0089681E-01,1.1668600E-13
2.0000000E-06,5.3819269E-01,1.0516177E-13
2.1100000E-06,5.0059495E-01,9.8579844E-14
2.2200000E-06,4.6472118E-01,9.2116702E-14
2.3500000E-06,4.2527429E-01,8.4583189E-14
2.5000000E-06,3.8417057E-01,7.6138017E-14
2.6700000E-06,3.4326418E-01,6.7078148E-14
2.8600001E-06,3.0406207E-01,5.7844205E-14
3.0800000E-06,2.6601227E-01,4.8540707E-14
3.3300001E-06,2.3053148E-01,3.9772759E-14
3.6400000E-06,1.9538292E-01,3.1323359E-14
4.0000001E-06,1.6365994E-01,2.4283880E-14
4.4400001E-06,1.3427918E-01,1.8671930E-14
4.9999998E-06,1.0699260E-01,1.4863142E-14
5.7100001E-06,8.2826168E-02,1.3686189E-14
6.6700000E-06,6.1238436E-02,1.7568437E-14
8.0000000E-06,4.2903538E-02,4.2361570E-14
9.4849999E-06,3.0758408E-02,2.0484978E-13
1.0000000E-05,2.7651759E-02,2.2110154E-13
1.0420000E-05,2.5439144E-02,1.8021588E-13
1.1100000E-05,2.2440046E-02,1.1366452E-13
1.2500000E-05,1.7732556E-02,3.9033794E-14
1.2990000E-05,1.6423223E-02,3.5660858E-14
1.4300000E-05,1.3560549E-02,4.4276908E-14
1.6700000E-05,9.9532758E-03,1.0086749E-13
2.0000000E-05,6.9560902E-03,8.4743308E-14
2.2200000E-05,5.6502947E-03,7.8604919E-14
2.5000000E-05,4.4648722E-03,6.1481506E-14
