Wavelength,CosAv,RaPr
1.0000000E-06,7.8293099E-01,2.6423370E-13
1.0500000E-06,7.7649589E-01,2.4453290E-13
1.1100000E-06,7.6813041E-01,2.2377929E-13
1.1800000E-06,7.5729350E-01,2.0326671E-13
1.2500000E-06,7.4603320E-01,1.8535071E-13
1.3300000E-06,7.3294158E-01,1.6718256E-13
1.4300000E-06,7.1499049E-01,1.4821695E-13
1.5400000E-06,6.9144584E-01,1.3211815E-13
1.6700000E-06,6.5824687E-01,1.1800301E-13
1.8200000E-06,6.1459652E-01,1.0570306E-13
2.0000000E-06,5.5828313E-01,9.4002740E-14
2.1100000E-06,5.2349727E-01,8.7739671E-14
2.2200000E-06,4.8946541E-01,8.1866900E-14
2.3500000E-06,4.5107895E-01,7.5263139E-14
2.5000000E-06,4.1005302E-01,6.8031045E-14
2.6700000E-06,3.6828262E-01,6.0340381E-14
2.8600001E-06,3.2749292E-01,5.2481660E-14
3.0800000E-06,2.8731719E-01,4.4486141E-14
3.3300001E-06,2.4944595E-01,3.6843943E-14
3.6400000E-06,2.1164164E-01,2.9362349E-14
4.0000001E-06,1.7735224E-01,2.3033881E-14
4.4400001E-06,1.4550643E-01,1.7925321E-14
4.9999998E-06,1.1589297E-01,1.4445680E-14
5.7100001E-06,8.9659067E-02,1.3451672E-14
6.6700000E-06,6.6231301E-02,1.7411833E-14
8.0000000E-06,4.6338334E-02,4.2197424E-14
9.4849999E-06,3.3212761E-02,2.0469134E-13
1.0000000E-05,2.9943495E-02,2.1961508E-13
1.0420000E-05,2.7575347E-02,1.7815017E-13
1.1100000E-05,2.4319388E-02,1.1210737E-13
1.2500000E-05,1.9196245E-02,3.8571333E-14
1.2990000E-05,1.7768312E-02,3.5313582E-14
1.4300000E-05,1.4660155E-02,4.3959764E-14
1.6700000E-05,1.0761026E-02,1.0035623E-13
2.0000000E-05,7.5364748E-03,8.3716568E-14
2.2200000E-05,6.1254966E-03,7.7473616E-14
2.5000000E-05,4.8426784E-03,6.0362705E-14
