Wavelength,ScaSec,AbsSec,ExtSec
1.0000000E-06,7.1327427E-13,3.5575580E-16,7.1363002E-13
1.0500000E-06,6.3657616E-13,3.3318234E-16,6.3690934E-13
1.1100000E-06,5.5775010E-13,3.3515562E-16,5.5808526E-13
1.1800000E-06,4.8041236E-13,3.3298968E-16,4.8074535E-13
1.2500000E-06,4.1551578E-13,3.3082443E-16,4.1584661E-13
1.3300000E-06,3.5372757E-13,3.2522535E-16,3.5405280E-13
1.4300000E-06,2.9174896E-13,3.5083151E-16,2.9209979E-13
1.5400000E-06,2.3913873E-13,3.6826847E-16,2.3950700E-13
1.6700000E-06,1.9237486E-13,4.0667133E-16,1.9278153E-13
1.8200000E-06,1.5249759E-13,4.4978613E-16,1.5294737E-13
2.0000000E-06,1.1748153E-13,5.1702799E-16,1.1799856E-13
2.1100000E-06,1.0080957E-13,5.6343668E-16,1.0137301E-13
2.2200000E-06,8.6816650E-14,6.1482843E-16,8.7431479E-14
2.3500000E-06,7.3046978E-14,6.7784522E-16,7.3724823E-14
2.5000000E-06,6.0139180E-14,7.6033209E-16,6.0899512E-14
2.6700000E-06,4.8535664E-14,8.5656995E-16,4.9392234E-14
2.8600001E-06,3.8477856E-14,9.7419404E-16,3.9452050E-14
3.0800000E-06,2.9692045E-14,1.1343070E-15,3.0826352E-14
3.3300001E-06,2.2388190E-14,1.3310114E-15,2.3719201E-14
3.6400000E-06,1.6046081E-14,1.6071909E-15,1.7653272E-14
4.0000001E-06,1.1134792E-14,1.9950945E-15,1.3129887E-14
4.4400001E-06,7.3180010E-15,2.5663411E-15,9.8843421E-15
4.9999998E-06,4.4381777E-15,3.5252414E-15,7.9634190E-15
5.7100001E-06,2.4440574E-15,5.2822588E-15,7.7263162E-15
6.6700000E-06,1.1152898E-15,9.5180546E-15,1.0633344E-14
8.0000000E-06,3.3858391E-16,2.6384594E-14,2.6723178E-14
9.4849999E-06,4.9820219E-16,1.2980526E-13,1.3030347E-13
1.0000000E-05,7.7772768E-16,1.3930167E-13,1.4007939E-13
1.0420000E-05,7.5334874E-16,1.1311642E-13,1.1386977E-13
1.1100000E-05,5.5209058E-16,7.1156487E-14,7.1708578E-14
1.2500000E-05,2.5377614E-16,2.4365024E-14,2.4618800E-14
1.2990000E-05,1.7658790E-16,2.2365208E-14,2.2541796E-14
1.4300000E-05,9.3392961E-17,2.8001412E-14,2.8094805E-14
1.6700000E-05,6.9911448E-17,6.4096440E-14,6.4166351E-14
2.0000000E-05,5.9226467E-17,5.3825363E-14,5.3884589E-14
2.2200000E-05,4.5716606E-17,4.9949078E-14,4.9994795E-14
2.5000000E-05,3.3332863E-17,3.9074652E-14,3.9107985E-14
