Wavelength,ScaSec,AbsSec,ExtSec
1.0000000E-06,1.2147018E-12,5.5958076E-16,1.2152614E-12
1.0500000E-06,1.0917397E-12,5.2457866E-16,1.0922643E-12
1.1100000E-06,9.6283214E-13,5.2780059E-16,9.6335994E-13
1.1800000E-06,8.3534018E-13,5.2421992E-16,8.3586440E-13
1.2500000E-06,7.2777155E-13,5.2089835E-16,7.2829245E-13
1.3300000E-06,6.2409579E-13,5.1252387E-16,6.2460832E-13
1.4300000E-06,5.1809999E-13,5.5353111E-16,5.1865352E-13
1.5400000E-06,4.2630029E-13,5.8142039E-16,4.2688171E-13
1.6700000E-06,3.4340952E-13,6.4173269E-16,3.4405125E-13
1.8200000E-06,2.7242819E-13,7.0829046E-16,2.7313648E-13
2.0000000E-06,2.1097498E-13,8.1153395E-16,2.1178651E-13
2.1100000E-06,1.8227964E-13,8.8292458E-16,1.8316257E-13
2.2200000E-06,1.5847017E-13,9.6239441E-16,1.5943257E-13
2.3500000E-06,1.3517918E-13,1.0604397E-15,1.3623962E-13
2.5000000E-06,1.1330056E-13,1.1897193E-15,1.1449028E-13
2.6700000E-06,9.3394287E-14,1.3415870E-15,9.4735874E-14
2.8600001E-06,7.5766563E-14,1.5281105E-15,7.7294674E-14
3.0800000E-06,5.9919571E-14,1.7824923E-15,6.1702064E-14
3.3300001E-06,4.6297322E-14,2.0953010E-15,4.8392623E-14
3.6400000E-06,3.4030699E-14,2.5339635E-15,3.6564662E-14
4.0000001E-06,2.4172433E-14,3.1484833E-15,2.7320917E-14
4.4400001E-06,1.6236982E-14,4.0509245E-15,2.0287906E-14
4.9999998E-06,1.0048628E-14,5.5616175E-15,1.5610245E-14
5.7100001E-06,5.6330150E-15,8.3237082E-15,1.3956723E-14
6.6700000E-06,2.6112945E-15,1.4973488E-14,1.7584782E-14
8.0000000E-06,8.0326496E-16,4.1431381E-14,4.2234646E-14
9.4849999E-06,1.1940217E-15,2.0353698E-13,2.0473100E-13
1.0000000E-05,1.8658930E-15,2.1780506E-13,2.1967095E-13
1.0420000E-05,1.8063289E-15,1.7639365E-13,1.7819998E-13
1.1100000E-05,1.3252019E-15,1.1081440E-13,1.1213960E-13
1.2500000E-05,6.1176716E-16,3.7971310E-14,3.8583077E-14
1.2990000E-05,4.2653586E-16,3.4894625E-14,3.5321160E-14
1.4300000E-05,2.2633334E-16,4.3736748E-14,4.3963082E-14
1.6700000E-05,1.7021389E-16,1.0018784E-13,1.0035806E-13
2.0000000E-05,1.4377951E-16,8.3573872E-14,8.3717652E-14
2.2200000E-05,1.1087707E-16,7.7363418E-14,7.7474295E-14
2.5000000E-05,8.0628297E-17,6.0282467E-14,6.0363095E-14
