Wavelength,ScaSec,AbsSec,ExtSec
1.0000000E-06,1.2751493E-12,5.7155039E-16,1.2757208E-12
1.0500000E-06,1.1454108E-12,5.3532276E-16,1.1459461E-12
1.1100000E-06,1.0099042E-12,5.3782018E-16,1.0104420E-12
1.1800000E-06,8.7713885E-13,5.3348301E-16,8.7767233E-13
1.2500000E-06,7.6618609E-13,5.2998925E-16,7.6671608E-13
1.3300000E-06,6.5940183E-13,5.2189723E-16,6.5992373E-13
1.4300000E-06,5.4928772E-13,5.6440243E-16,5.4985212E-13
1.5400000E-06,4.5281733E-13,5.9320873E-16,4.5341054E-13
1.6700000E-06,3.6530398E-13,6.5449788E-16,3.6595848E-13
1.8200000E-06,2.9056179E-13,7.2186056E-16,2.9128365E-13
2.0000000E-06,2.2592726E-13,8.2691109E-16,2.2675417E-13
2.1100000E-06,1.9559277E-13,8.9982709E-16,1.9649260E-13
2.2200000E-06,1.7025821E-13,9.8108848E-16,1.7123930E-13
2.3500000E-06,1.4528991E-13,1.0813425E-15,1.4637125E-13
2.5000000E-06,1.2166466E-13,1.2133394E-15,1.2287800E-13
2.6700000E-06,1.0005562E-13,1.3680393E-15,1.0142366E-13
2.8600001E-06,8.0878904E-14,1.5575079E-15,8.2436412E-14
3.0800000E-06,6.3659689E-14,1.8152764E-15,6.5474965E-14
3.3300001E-06,4.8918604E-14,2.1314330E-15,5.1050037E-14
3.6400000E-06,3.5730589E-14,2.5739170E-15,3.8304506E-14
4.0000001E-06,2.5217997E-14,3.1930588E-15,2.8411056E-14
4.4400001E-06,1.6830590E-14,4.1013378E-15,2.0931928E-14
4.9999998E-06,1.0349641E-14,5.6208362E-15,1.5970478E-14
5.7100001E-06,5.7668263E-15,8.3970071E-15,1.4163833E-14
6.6700000E-06,2.6575362E-15,1.5073644E-14,1.7731180E-14
8.0000000E-06,8.1243656E-16,4.1583989E-14,4.2396426E-14
9.4849999E-06,1.2003014E-15,2.0368640E-13,2.0488670E-13
1.0000000E-05,1.8846384E-15,2.1926901E-13,2.2115365E-13
1.0420000E-05,1.8325902E-15,1.7842991E-13,1.8026250E-13
1.1100000E-05,1.3470840E-15,1.1234767E-13,1.1369475E-13
1.2500000E-05,6.2035580E-16,3.8424439E-14,3.9044795E-14
1.2990000E-05,4.3157259E-16,3.5236373E-14,3.5667946E-14
1.4300000E-05,2.2833239E-16,4.4051672E-14,4.4280004E-14
1.6700000E-05,1.7115736E-16,1.0069803E-13,1.0086919E-13
2.0000000E-05,1.4544585E-16,8.4598874E-14,8.4744320E-14
2.2200000E-05,1.1237610E-16,7.8493178E-14,7.8605554E-14
2.5000000E-05,8.2017373E-17,6.1399854E-14,6.1481872E-14
