Wavelength,CosAv,RaPr
1.0000000E-06,7.6118897E-01,1.7069352E-13
1.0500000E-06,7.5016664E-01,1.5937114E-13
1.1100000E-06,7.3528721E-01,1.4797874E-13
1.1800000E-06,7.1654877E-01,1.3650646E-13
1.2500000E-06,6.9670365E-01,1.2635525E-13
1.3300000E-06,6.7229724E-01,1.1624273E-13
1.4300000E-06,6.3836717E-01,1.0585683E-13
1.5400000E-06,5.9672644E-01,9.6806595E-14
1.6700000E-06,5.4416660E-01,8.8097557E-14
1.8200000E-06,4.8396168E-01,7.9144385E-14
2.0000000E-06,4.1807022E-01,6.8883032E-14
2.1100000E-06,3.8246588E-01,6.2816788E-14
2.2200000E-06,3.5049151E-01,5.7002980E-14
2.3500000E-06,3.1707645E-01,5.0563347E-14
2.5000000E-06,2.8374212E-01,4.3835494E-14
2.6700000E-06,2.5168854E-01,3.7176364E-14
2.8600001E-06,2.2173791E-01,3.0920051E-14
3.0800000E-06,1.9318517E-01,2.5090289E-14
3.3300001E-06,1.6688906E-01,1.9982857E-14
3.6400000E-06,1.4106294E-01,1.5389764E-14
4.0000001E-06,1.1789454E-01,1.1817156E-14
4.4400001E-06,9.6530234E-02,9.1779338E-15
4.9999998E-06,7.6758417E-02,7.6227515E-15
5.7100001E-06,5.9300702E-02,7.5813818E-15
6.6700000E-06,4.3747130E-02,1.0584554E-14
8.0000000E-06,3.0560179E-02,2.6712831E-14
9.4849999E-06,2.1841623E-02,1.3029258E-13
1.0000000E-05,1.9687346E-02,1.4006408E-13
1.0420000E-05,1.8157932E-02,1.1385609E-13
1.1100000E-05,1.6045460E-02,7.1699719E-14
1.2500000E-05,1.2673162E-02,2.4615584E-14
1.2990000E-05,1.1724541E-02,2.2539725E-14
1.4300000E-05,9.6666661E-03,2.8093903E-14
1.6700000E-05,7.0843283E-03,6.4165856E-14
2.0000000E-05,4.9639484E-03,5.3884295E-14
2.2200000E-05,4.0350405E-03,4.9994610E-14
2.5000000E-05,3.1938569E-03,3.9107878E-14
