Wavelength,CosAv,RaPr
1.0000000E-06,6.8520971E-01,8.6718990E-12
1.0500000E-06,6.7525253E-01,8.8624441E-12
1.1100000E-06,6.7497031E-01,8.8106275E-12
1.1800000E-06,6.9264309E-01,8.3843585E-12
1.2500000E-06,7.1996647E-01,7.7308077E-12
1.3300000E-06,7.5073100E-01,6.9821585E-12
1.4300000E-06,7.8081024E-01,6.1920146E-12
1.5400000E-06,7.9172383E-01,5.7606240E-12
1.6700000E-06,7.9277597E-01,5.4672686E-12
1.8200000E-06,7.9626427E-01,5.0503232E-12
2.0000000E-06,8.0494152E-01,4.4020302E-12
2.1100000E-06,8.0867057E-01,4.0380119E-12
2.2200000E-06,8.1077365E-01,3.7174774E-12
2.3500000E-06,8.1168199E-01,3.3777444E-12
2.5000000E-06,8.0951236E-01,3.0596473E-12
2.6700000E-06,8.0503932E-01,2.7606340E-12
2.8600001E-06,7.9984057E-01,2.4626319E-12
3.0800000E-06,7.9233005E-01,2.1727212E-12
3.3300001E-06,7.7969531E-01,1.9254110E-12
3.6400000E-06,7.5989072E-01,1.6999350E-12
4.0000001E-06,7.3606226E-01,1.4847029E-12
4.4400001E-06,7.0366629E-01,1.2794942E-12
4.9999998E-06,6.5086017E-01,1.1141689E-12
5.7100001E-06,5.7088839E-01,9.9853042E-13
6.6700000E-06,4.6451203E-01,9.5617092E-13
8.0000000E-06,3.5073512E-01,1.4044148E-12
9.4849999E-06,2.7607354E-01,5.4531334E-12
1.0000000E-05,2.5027309E-01,6.4124743E-12
1.0420000E-05,2.2665729E-01,5.7391576E-12
1.1100000E-05,1.9503815E-01,3.9935362E-12
1.2500000E-05,1.5176593E-01,1.5052947E-12
1.2990000E-05,1.4138159E-01,1.2887927E-12
1.4300000E-05,1.1827293E-01,1.4068342E-12
1.6700000E-05,8.8608579E-02,2.9044618E-12
2.0000000E-05,6.1491437E-02,2.5244329E-12
2.2200000E-05,4.9952274E-02,2.3358034E-12
2.5000000E-05,3.9403919E-02,1.8418582E-12
