Wavelength,ScaSec,AbsSec,ExtSec
1.0000000E-06,2.7472233E-11,2.3906714E-14,2.7496140E-11
1.0500000E-06,2.7223777E-11,2.1591584E-14,2.7245368E-11
1.1100000E-06,2.7039638E-11,2.1942441E-14,2.7061580E-11
1.1800000E-06,2.7205756E-11,2.2481327E-14,2.7228237E-11
1.2500000E-06,2.7524920E-11,2.2907198E-14,2.7547827E-11
1.3300000E-06,2.7918874E-11,2.2848837E-14,2.7941723E-11
1.4300000E-06,2.8138938E-11,2.4247515E-14,2.8163186E-11
1.5400000E-06,2.7541672E-11,2.4350063E-14,2.7566022E-11
1.6700000E-06,2.6258391E-11,2.5898950E-14,2.6284290E-11
1.8200000E-06,2.4650547E-11,2.8125829E-14,2.4678673E-11
2.0000000E-06,2.2403733E-11,3.1992016E-14,2.2435725E-11
2.1100000E-06,2.0924327E-11,3.4572437E-14,2.0958899E-11
2.2200000E-06,1.9447898E-11,3.7422673E-14,1.9485321E-11
2.3500000E-06,1.7719380E-11,4.0866127E-14,1.7760246E-11
2.5000000E-06,1.5824593E-11,4.5258011E-14,1.5869851E-11
2.6700000E-06,1.3901550E-11,5.0378431E-14,1.3951928E-11
2.8600001E-06,1.2019949E-11,5.6725735E-14,1.2076675E-11
3.0800000E-06,1.0147898E-11,6.5307776E-14,1.0213206E-11
3.3300001E-06,8.3967906E-12,7.5558713E-14,8.4723493E-12
3.6400000E-06,6.7056527E-12,8.9845623E-14,6.7954983E-12
4.0000001E-06,5.2087144E-12,1.0992657E-13,5.3186410E-12
4.4400001E-06,3.8495965E-12,1.3872899E-13,3.9883255E-12
4.9999998E-06,2.6599368E-12,1.8547904E-13,2.8454159E-12
5.7100001E-06,1.7001840E-12,2.6896175E-13,1.9691457E-12
6.6700000E-06,9.1750011E-13,4.6486065E-13,1.3823608E-12
8.0000000E-06,3.2022795E-13,1.1965020E-12,1.5167300E-12
9.4849999E-06,4.6791354E-13,5.1143984E-12,5.5823119E-12
1.0000000E-05,8.0639419E-13,5.8078989E-12,6.6142930E-12
1.0420000E-05,8.7531104E-13,5.0622422E-12,5.9375532E-12
1.1100000E-05,7.3111345E-13,3.4050178E-12,4.1361312E-12
1.2500000E-05,3.7533109E-13,1.1869261E-12,1.5622572E-12
1.2990000E-05,2.6120715E-13,1.0645155E-12,1.3257226E-12
1.4300000E-05,1.3977336E-13,1.2835923E-12,1.4233656E-12
1.6700000E-05,1.0629475E-13,2.8075857E-12,2.9138804E-12
2.0000000E-05,9.8057077E-14,2.4324055E-12,2.5304625E-12
2.2200000E-05,7.7648733E-14,2.2620334E-12,2.3396822E-12
2.5000000E-05,5.8315806E-14,1.7858402E-12,1.8441560E-12
