Wavelength,CosAv,RaPr
1.0000000E-06,7.0581458E-01,5.7997752E-12
1.0500000E-06,7.0408571E-01,5.7825921E-12
1.1100000E-06,7.1021310E-01,5.6112297E-12
1.1800000E-06,7.2734692E-01,5.2974477E-12
1.2500000E-06,7.4947633E-01,4.9147653E-12
1.3300000E-06,7.7547078E-01,4.4173143E-12
1.4300000E-06,7.9601480E-01,3.9472788E-12
1.5400000E-06,8.0309222E-01,3.6455852E-12
1.6700000E-06,8.0371051E-01,3.3869844E-12
1.8200000E-06,8.0386653E-01,3.0660652E-12
2.0000000E-06,8.0536573E-01,2.6768230E-12
2.1100000E-06,8.0500424E-01,2.4678768E-12
2.2200000E-06,8.0249627E-01,2.2918407E-12
2.3500000E-06,7.9706880E-01,2.1207263E-12
2.5000000E-06,7.8955497E-01,1.9485349E-12
2.6700000E-06,7.8114290E-01,1.7659862E-12
2.8600001E-06,7.7101717E-01,1.5843148E-12
3.0800000E-06,7.5633105E-01,1.4165467E-12
3.3300001E-06,7.3596819E-01,1.2696612E-12
3.6400000E-06,7.0773076E-01,1.1228895E-12
4.0000001E-06,6.7124503E-01,9.8624135E-13
4.4400001E-06,6.1920158E-01,8.6353744E-13
4.9999998E-06,5.4450249E-01,7.5536913E-13
5.7100001E-06,4.5227319E-01,6.5684141E-13
6.6700000E-06,3.5162544E-01,5.9774296E-13
8.0000000E-06,2.5766893E-01,8.7877539E-13
9.4849999E-06,1.9706253E-01,3.5404727E-12
1.0000000E-05,1.7705630E-01,4.1219919E-12
1.0420000E-05,1.6061916E-01,3.6192871E-12
1.1100000E-05,1.3925798E-01,2.4469830E-12
1.2500000E-05,1.0916349E-01,8.8819831E-13
1.2990000E-05,1.0155573E-01,7.6947745E-13
1.4300000E-05,8.4664203E-02,8.6428841E-13
1.6700000E-05,6.3018291E-02,1.8296788E-12
2.0000000E-05,4.3944294E-02,1.5756026E-12
2.2200000E-05,3.5741990E-02,1.4585573E-12
2.5000000E-05,2.8271595E-02,1.1481329E-12
