Wavelength,ScaSec,AbsSec,ExtSec
1.0000000E-06,2.9156061E-11,2.4062527E-14,2.9180123E-11
1.0500000E-06,2.8968560E-11,2.1553154E-14,2.8990113E-11
1.1100000E-06,2.8816920E-11,2.1752879E-14,2.8838673E-11
1.1800000E-06,2.9094224E-11,2.2367429E-14,2.9116592E-11
1.2500000E-06,2.9499235E-11,2.2944351E-14,2.9522179E-11
1.3300000E-06,2.9848641E-11,2.2813120E-14,2.9871454E-11
1.4300000E-06,2.9592483E-11,2.4196832E-14,2.9616679E-11
1.5400000E-06,2.8484552E-11,2.4306303E-14,2.8508859E-11
1.6700000E-06,2.6605704E-11,2.5641410E-14,2.6631346E-11
1.8200000E-06,2.4679080E-11,2.7810163E-14,2.4706890E-11
2.0000000E-06,2.2211490E-11,3.1821741E-14,2.2243312E-11
2.1100000E-06,2.0540748E-11,3.4317145E-14,2.0575066E-11
2.2200000E-06,1.8929489E-11,3.7139445E-14,1.8966629E-11
2.3500000E-06,1.7097045E-11,4.0466572E-14,1.7137512E-11
2.5000000E-06,1.5148696E-11,4.4627965E-14,1.5193324E-11
2.6700000E-06,1.3244607E-11,4.9451811E-14,1.3294059E-11
2.8600001E-06,1.1442281E-11,5.5555725E-14,1.1497836E-11
3.0800000E-06,9.6685523E-12,6.4002366E-14,9.7325546E-12
3.3300001E-06,8.0037403E-12,7.4201499E-14,8.0779418E-12
3.6400000E-06,6.3770422E-12,8.8362963E-14,6.4654052E-12
4.0000001E-06,4.9299218E-12,1.0804879E-13,5.0379706E-12
4.4400001E-06,3.6307489E-12,1.3624603E-13,3.7669950E-12
4.9999998E-06,2.5039145E-12,1.8234737E-13,2.6862619E-12
5.7100001E-06,1.5945068E-12,2.6488778E-13,1.8593945E-12
6.6700000E-06,8.5887731E-13,4.5864942E-13,1.3175267E-12
8.0000000E-06,3.0294443E-13,1.1872376E-12,1.4901820E-12
9.4849999E-06,4.5182380E-13,5.1269664E-12,5.5787902E-12
1.0000000E-05,7.7463304E-13,5.7791349E-12,6.5537680E-12
1.0420000E-05,8.3458289E-13,4.9933057E-12,5.8278886E-12
1.1100000E-05,6.9353603E-13,3.3334476E-12,4.0269837E-12
1.2500000E-05,3.5806425E-13,1.1622483E-12,1.5203125E-12
1.2990000E-05,2.5057763E-13,1.0463963E-12,1.2969739E-12
1.4300000E-05,1.3531228E-13,1.2683036E-12,1.4036158E-12
1.6700000E-05,1.0401207E-13,2.7877069E-12,2.8917190E-12
2.0000000E-05,9.5635371E-14,2.3945602E-12,2.4901956E-12
2.2200000E-05,7.5725797E-14,2.2214394E-12,2.2971652E-12
2.5000000E-05,5.6724917E-14,1.7456513E-12,1.8023762E-12
