Wavelength,ScaSec,AbsSec,ExtSec
1.0000000E-06,1.9666251E-11,1.4250785E-14,1.9680502E-11
1.0500000E-06,1.9497030E-11,1.3142208E-14,1.9510172E-11
1.1100000E-06,1.9317203E-11,1.3357326E-14,1.9330560E-11
1.1800000E-06,1.9379626E-11,1.3532783E-14,1.9393159E-11
1.2500000E-06,1.9563467E-11,1.3653740E-14,1.9577120E-11
1.3300000E-06,1.9613135E-11,1.3592542E-14,1.9626727E-11
1.4300000E-06,1.9279841E-11,1.4476474E-14,1.9294318E-11
1.5400000E-06,1.8439122E-11,1.4778674E-14,1.8453900E-11
1.6700000E-06,1.7173739E-11,1.5959800E-14,1.7189699E-11
1.8200000E-06,1.5543859E-11,1.7394291E-14,1.5561253E-11
2.0000000E-06,1.3651554E-11,1.9762764E-14,1.3671317E-11
2.1100000E-06,1.2546349E-11,2.1391920E-14,1.2567741E-11
2.2200000E-06,1.1486814E-11,2.3151943E-14,1.1509966E-11
2.3500000E-06,1.0325951E-11,2.5268564E-14,1.0351220E-11
2.5000000E-06,9.1256815E-12,2.8080599E-14,9.1537621E-12
2.6700000E-06,7.9257389E-12,3.1382026E-14,7.9571209E-12
2.8600001E-06,6.7644689E-12,3.5367543E-14,6.7998365E-12
3.0800000E-06,5.6463702E-12,4.0701576E-14,5.6870718E-12
3.3300001E-06,4.6301014E-12,4.7167135E-14,4.6772685E-12
3.6400000E-06,3.6497413E-12,5.6182372E-14,3.7059236E-12
4.0000001E-06,2.7911849E-12,6.8625436E-14,2.8598104E-12
4.4400001E-06,2.0407198E-12,8.6434560E-14,2.1271544E-12
4.9999998E-06,1.4041461E-12,1.1578407E-13,1.5199302E-12
5.7100001E-06,8.9097143E-13,1.6883247E-13,1.0598039E-12
6.6700000E-06,4.6928656E-13,2.9346950E-13,7.6275606E-13
8.0000000E-06,1.5802272E-13,7.6147022E-13,9.1949294E-13
9.4849999E-06,2.3153831E-13,3.3545619E-12,3.5861002E-12
1.0000000E-05,3.9382473E-13,3.7978963E-12,4.1917210E-12
1.0420000E-05,4.1665655E-13,3.2695536E-12,3.6862101E-12
1.1100000E-05,3.3472850E-13,2.1588681E-12,2.4935966E-12
1.2500000E-05,1.6466750E-13,7.4150648E-13,9.0617398E-13
1.2990000E-05,1.1421210E-13,6.6686424E-13,7.8107634E-13
1.4300000E-05,6.0650507E-14,8.0877283E-13,8.6942334E-13
1.6700000E-05,4.5771120E-14,1.7867921E-12,1.8325632E-12
2.0000000E-05,4.1145947E-14,1.5362648E-12,1.5774108E-12
2.2200000E-05,3.2300988E-14,1.4274108E-12,1.4597118E-12
2.5000000E-05,2.4037905E-14,1.1247746E-12,1.1488125E-12
