Wavelength,CosAv,RaPr
1.0000000E-06,6.5598808E-01,9.5800105E-12
2.5000000E-06,8.0061933E-01,3.8241598E-12
3.4540001E-06,7.6942714E-01,2.2093981E-12
4.3969999E-06,7.0632562E-01,1.4609618E-12
5.3499998E-06,6.1281142E-01,1.0363067E-12
6.2500003E-06,5.0829886E-01,7.6699991E-13
7.3050000E-06,4.0122977E-01,5.0757832E-13
8.3470000E-06,3.2116753E-01,3.3701927E-13
9.3899999E-06,2.6215526E-01,3.0180501E-13
1.0280000E-05,2.2411478E-01,4.7867905E-13
1.1250000E-05,1.9258194E-01,1.5147888E-12
1.2020000E-05,1.7898151E-01,6.0806035E-12
1.2560000E-05,1.7321148E-01,9.5585014E-12
1.3020000E-05,1.7335318E-01,1.4442084E-11
1.3440000E-05,1.7175995E-01,1.9493819E-11
1.3970000E-05,1.5655805E-01,1.4213654E-11
1.4350000E-05,1.2553358E-01,1.4524901E-11
1.4520000E-05,1.1288738E-01,1.5315146E-11
1.4680000E-05,1.0498623E-01,1.4403122E-11
1.4810000E-05,1.0152748E-01,1.2248908E-11
1.5010000E-05,1.0063650E-01,8.6604974E-12
1.5150000E-05,1.0114221E-01,6.8693747E-12
1.5340000E-05,1.0079333E-01,5.2937715E-12
1.5500000E-05,9.9965894E-02,4.5099453E-12
1.5870000E-05,9.7852595E-02,4.0985689E-12
1.6370000E-05,9.6900513E-02,6.9356889E-12
1.6610000E-05,9.8384924E-02,1.0610191E-11
1.7070000E-05,9.4573500E-02,1.1721107E-11
1.7210000E-05,8.7103684E-02,1.1345821E-11
1.7330000E-05,8.4187309E-02,1.0416112E-11
1.7450000E-05,8.5599326E-02,1.0327052E-11
1.7670000E-05,8.6891525E-02,1.1271295E-11
1.7990000E-05,7.5826816E-02,1.2183748E-11
1.8480000E-05,5.8449256E-02,1.6116767E-11
1.9010000E-05,5.3029649E-02,1.1995897E-11
1.9420000E-05,4.9857034E-02,6.6613303E-12
1.9680000E-05,4.8513137E-02,4.7829948E-12
1.9920000E-05,4.7595322E-02,3.8281383E-12
2.0200000E-05,4.7356800E-02,3.1739335E-12
2.0530000E-05,4.7254930E-02,2.6051860E-12
2.0880000E-05,5.2739347E-02,1.8855032E-12
2.1190000E-05,6.0744637E-02,1.3552678E-12
2.1650000E-05,5.6391297E-02,9.6370137E-13
2.2030000E-05,5.3112625E-02,7.9622231E-13
2.2570000E-05,4.9645091E-02,6.3916650E-13
2.3420000E-05,4.5527045E-02,4.8283438E-13
2.4210000E-05,4.2403776E-02,3.8718529E-13
2.5000000E-05,3.9691788E-02,3.1978105E-13
