Wavelength,CosAv,RaPr
1.0000000E-06,6.4801475E-01,1.0201847E-11
2.5000000E-06,7.9784014E-01,3.7314826E-12
3.4540001E-06,7.5999264E-01,2.1916257E-12
4.3969999E-06,7.0766529E-01,1.3708068E-12
5.3499998E-06,6.2522462E-01,9.4386760E-13
6.2500003E-06,5.3062920E-01,6.8857452E-13
7.3050000E-06,4.2646204E-01,4.6266705E-13
8.3470000E-06,3.4398936E-01,3.1864856E-13
9.3899999E-06,2.8131873E-01,2.9737238E-13
1.0280000E-05,2.4023690E-01,4.7876249E-13
1.1250000E-05,2.0566421E-01,1.5104121E-12
1.2020000E-05,1.9012557E-01,6.0324165E-12
1.2560000E-05,1.8389962E-01,9.6282303E-12
1.3020000E-05,1.8321689E-01,1.4904686E-11
1.3440000E-05,1.8402073E-01,2.0790947E-11
1.3970000E-05,1.6808610E-01,1.4332073E-11
1.4350000E-05,1.4141892E-01,1.4432982E-11
1.4520000E-05,1.3040101E-01,1.4719924E-11
1.4680000E-05,1.1972645E-01,1.3404586E-11
1.4810000E-05,1.1368641E-01,1.1325991E-11
1.5010000E-05,1.1113319E-01,8.0499048E-12
1.5150000E-05,1.1122504E-01,6.4361344E-12
1.5340000E-05,1.1043944E-01,5.0243098E-12
1.5500000E-05,1.0923453E-01,4.3318324E-12
1.5870000E-05,1.0626900E-01,4.0352946E-12
1.6370000E-05,1.0435696E-01,7.0162373E-12
1.6610000E-05,1.0583282E-01,1.0915485E-11
1.7070000E-05,1.0318760E-01,1.1717539E-11
1.7210000E-05,9.6557327E-02,1.1151506E-11
1.7330000E-05,9.3144367E-02,1.0197395E-11
1.7450000E-05,9.3855265E-02,1.0261733E-11
1.7670000E-05,9.5161698E-02,1.1194314E-11
1.7990000E-05,8.6401799E-02,1.2051161E-11
1.8480000E-05,7.3506213E-02,1.4174579E-11
1.9010000E-05,5.7916491E-02,1.0759741E-11
1.9420000E-05,5.3695579E-02,6.0531137E-12
1.9680000E-05,5.2611543E-02,4.3500494E-12
1.9920000E-05,5.1859759E-02,3.4899242E-12
2.0200000E-05,5.1742922E-02,2.9048145E-12
2.0530000E-05,5.1649045E-02,2.3933203E-12
2.0880000E-05,5.7399053E-02,1.7434421E-12
2.1190000E-05,6.5836302E-02,1.2542390E-12
2.1650000E-05,6.1256389E-02,8.9277094E-13
2.2030000E-05,5.7772117E-02,7.3963865E-13
2.2570000E-05,5.4053611E-02,5.9615633E-13
2.3420000E-05,4.9596780E-02,4.5282319E-13
2.4210000E-05,4.6197820E-02,3.6465500E-13
2.5000000E-05,4.3239104E-02,3.0223318E-13
