Wavelength,ScaSec,AbsSec,ExtSec
1.0000000E-06,2.8937382E-11,1.6314972E-14,2.8953697E-11
2.5000000E-06,1.8417133E-11,8.2773732E-15,1.8425411E-11
3.4540001E-06,9.0709288E-12,1.4536046E-14,9.0854648E-12
4.3969999E-06,4.6094247E-12,2.3311920E-14,4.6327366E-12
5.3499998E-06,2.4231594E-12,3.5727091E-14,2.4588865E-12
6.2500003E-06,1.3543750E-12,5.2870427E-14,1.4072455E-12
7.3050000E-06,6.5907791E-13,8.4660846E-14,7.4373876E-13
8.3470000E-06,2.7224553E-13,1.4005260E-13,4.1229813E-13
9.3899999E-06,6.3485629E-14,2.5174645E-13,3.1523208E-13
1.0280000E-05,2.6291693E-15,4.7676495E-13,4.7939412E-13
1.1250000E-05,1.6325892E-13,1.3807297E-12,1.5439886E-12
1.2020000E-05,8.2931890E-13,5.3607723E-12,6.1900912E-12
1.2560000E-05,1.2560085E-12,8.6032013E-12,9.8592098E-12
1.3020000E-05,2.3490518E-12,1.2986020E-11,1.5335072E-11
1.3440000E-05,3.5531820E-12,1.7891624E-11,2.1444806E-11
1.3970000E-05,1.9849723E-12,1.2680747E-11,1.4665719E-11
1.4350000E-05,1.9520576E-12,1.2756982E-11,1.4709040E-11
1.4520000E-05,2.2332932E-12,1.2777855E-11,1.5011148E-11
1.4680000E-05,2.3027627E-12,1.1377525E-11,1.3680288E-11
1.4810000E-05,2.0857691E-12,9.4773459E-12,1.1563115E-11
1.5010000E-05,1.5108102E-12,6.7069958E-12,8.2178060E-12
1.5150000E-05,1.1503243E-12,5.4137549E-12,6.5640792E-12
1.5340000E-05,7.7866559E-13,4.3316396E-12,5.1103052E-12
1.5500000E-05,5.4560229E-13,3.8458287E-12,4.3914310E-12
1.5870000E-05,2.4323107E-13,3.8179114E-12,4.0611425E-12
1.6370000E-05,3.0435303E-13,6.7436456E-12,7.0479986E-12
1.6610000E-05,7.1848053E-13,1.0273043E-11,1.0991524E-11
1.7070000E-05,1.0000786E-12,1.0820656E-11,1.1820734E-11
1.7210000E-05,9.5593021E-13,1.0287877E-11,1.1243808E-11
1.7330000E-05,8.3049558E-13,9.4442555E-12,1.0274751E-11
1.7450000E-05,7.5774030E-13,9.5751102E-12,1.0332850E-11
1.7670000E-05,8.8650149E-13,1.0392174E-11,1.1278675E-11
1.7990000E-05,9.9074586E-13,1.1146017E-11,1.2136763E-11
1.8480000E-05,1.6164479E-12,1.2676950E-11,1.4293398E-11
1.9010000E-05,1.9048142E-12,8.9652465E-12,1.0870061E-11
1.9420000E-05,1.4090160E-12,4.7197556E-12,6.1287717E-12
1.9680000E-05,1.1101874E-12,3.2982707E-12,4.4084581E-12
1.9920000E-05,9.2103461E-13,2.6166542E-12,3.5376889E-12
2.0200000E-05,7.6889930E-13,2.1757003E-12,2.9445996E-12
2.0530000E-05,6.6252085E-13,1.7650180E-12,2.4275389E-12
2.0880000E-05,5.5974226E-13,1.2158285E-12,1.7755707E-12
2.1190000E-05,4.7125483E-13,8.1400988E-13,1.2852647E-12
2.1650000E-05,3.7748580E-13,5.3840855E-13,9.1589435E-13
2.2030000E-05,3.2273736E-13,4.3554651E-13,7.5828387E-13
2.2570000E-05,2.6510413E-13,3.4538203E-13,6.1048616E-13
2.3420000E-05,2.0297605E-13,2.5991410E-13,4.6289015E-13
2.4210000E-05,1.6291769E-13,2.0926376E-13,3.7218145E-13
2.5000000E-05,1.3347396E-13,1.7453051E-13,3.0800447E-13
