Wavelength,CosAv,RaPr
1.0000000E-06,6.7078070E-01,6.5571458E-12
2.5000000E-06,7.8234860E-01,2.4472686E-12
3.4540001E-06,7.2321524E-01,1.4646031E-12
4.3969999E-06,6.2549106E-01,9.8669626E-13
5.3499998E-06,4.9782985E-01,7.0450938E-13
6.2500003E-06,3.9049127E-01,4.9044550E-13
7.3050000E-06,2.9849695E-01,3.0038738E-13
8.3470000E-06,2.3537278E-01,1.9559403E-13
9.3899999E-06,1.9037008E-01,1.8573796E-13
1.0280000E-05,1.6169573E-01,3.0589605E-13
1.1250000E-05,1.3782315E-01,9.6791014E-13
1.2020000E-05,1.2648837E-01,4.0287094E-12
1.2560000E-05,1.2162553E-01,6.4254901E-12
1.3020000E-05,1.2099376E-01,9.8458637E-12
1.3440000E-05,1.1772994E-01,1.2886351E-11
1.3970000E-05,9.7768866E-02,9.5781237E-12
1.4350000E-05,8.2477717E-02,9.9613154E-12
1.4520000E-05,7.7765886E-02,1.0042770E-11
1.4680000E-05,7.3646525E-02,9.0189638E-12
1.4810000E-05,7.1946324E-02,7.3996365E-12
1.5010000E-05,7.2292938E-02,5.0835026E-12
1.5150000E-05,7.2974212E-02,4.0297458E-12
1.5340000E-05,7.2694970E-02,3.1417945E-12
1.5500000E-05,7.1845655E-02,2.7185453E-12
1.5870000E-05,6.9609943E-02,2.5619416E-12
1.6370000E-05,6.7824201E-02,4.4863372E-12
1.6610000E-05,6.8194955E-02,6.8928187E-12
1.7070000E-05,6.2059456E-02,7.7411892E-12
1.7210000E-05,5.8524878E-02,7.4455291E-12
1.7330000E-05,5.7780322E-02,6.7112579E-12
1.7450000E-05,5.8443926E-02,6.6759498E-12
1.7670000E-05,5.6959038E-02,7.4749276E-12
1.7990000E-05,5.0475936E-02,8.2308523E-12
1.8480000E-05,4.3640967E-02,9.9057734E-12
1.9010000E-05,3.8572818E-02,6.6430869E-12
1.9420000E-05,3.6849624E-02,3.4720841E-12
1.9680000E-05,3.5684380E-02,2.4962559E-12
1.9920000E-05,3.4817228E-02,2.0100896E-12
2.0200000E-05,3.4545608E-02,1.6784909E-12
2.0530000E-05,3.4495098E-02,1.3742376E-12
2.0880000E-05,3.9197023E-02,9.7196767E-13
2.1190000E-05,4.6074316E-02,6.9358860E-13
2.1650000E-05,4.2472016E-02,4.9485557E-13
2.2030000E-05,3.9757818E-02,4.1034537E-13
2.2570000E-05,3.6930816E-02,3.3088743E-13
2.3420000E-05,3.3652283E-02,2.5144152E-13
2.4210000E-05,3.1216297E-02,2.0264554E-13
2.5000000E-05,2.9131235E-02,1.6823849E-13
