Wavelength,ScaSec,AbsSec,ExtSec
1.0000000E-06,2.7800439E-11,1.6327897E-14,2.7816767E-11
2.5000000E-06,1.9138082E-11,8.3961832E-15,1.9146478E-11
3.4540001E-06,9.5178972E-12,1.4829303E-14,9.5327265E-12
4.3969999E-06,4.8937137E-12,2.3803440E-14,4.9175172E-12
5.3499998E-06,2.5824766E-12,3.6401306E-14,2.6188779E-12
6.2500003E-06,1.4505462E-12,5.3764696E-14,1.5043109E-12
7.3050000E-06,7.0426041E-13,8.5888157E-14,7.9014857E-13
8.3470000E-06,2.8807867E-13,1.4146212E-13,4.2954079E-13
9.3899999E-06,6.6357532E-14,2.5284346E-13,3.1920099E-13
1.0280000E-05,2.7200491E-15,4.7656860E-13,4.7928865E-13
1.1250000E-05,1.6763095E-13,1.3794406E-12,1.5470715E-12
1.2020000E-05,8.4456613E-13,5.3871991E-12,6.2317652E-12
1.2560000E-05,1.2507836E-12,8.5243679E-12,9.7751515E-12
1.3020000E-05,2.2417051E-12,1.2588986E-11,1.4830691E-11
1.3440000E-05,3.2256118E-12,1.6822238E-11,2.0047850E-11
1.3970000E-05,1.9431282E-12,1.2574738E-11,1.4517866E-11
1.4350000E-05,1.9860000E-12,1.2788211E-11,1.4774211E-11
1.4520000E-05,2.3644966E-12,1.3217571E-11,1.5582068E-11
1.4680000E-05,2.5419987E-12,1.2127998E-11,1.4669997E-11
1.4810000E-05,2.3137929E-12,1.0170029E-11,1.2483822E-11
1.5010000E-05,1.6566205E-12,7.1705934E-12,8.8272139E-12
1.5150000E-05,1.2475464E-12,5.7480079E-12,6.9955543E-12
1.5340000E-05,8.3191355E-13,4.5457093E-12,5.3776228E-12
1.5500000E-05,5.7571556E-13,3.9917817E-12,4.5674972E-12
1.5870000E-05,2.5053468E-13,3.8725497E-12,4.1230844E-12
1.6370000E-05,3.0359989E-13,6.6615080E-12,6.9651079E-12
1.6610000E-05,6.9656836E-13,9.9821549E-12,1.0678723E-11
1.7070000E-05,9.9422324E-13,1.0820911E-11,1.1815134E-11
1.7210000E-05,9.7603718E-13,1.0454800E-11,1.1430838E-11
1.7330000E-05,8.5201776E-13,9.6358238E-12,1.0487842E-11
1.7450000E-05,7.6259268E-13,9.6297368E-12,1.0392329E-11
1.7670000E-05,8.9006293E-13,1.0458571E-11,1.1348634E-11
1.7990000E-05,1.0100341E-12,1.1250301E-11,1.2260335E-11
1.8480000E-05,1.9320870E-12,1.4297609E-11,1.6229696E-11
1.9010000E-05,2.3002424E-12,9.8176360E-12,1.2117878E-11
1.9420000E-05,1.6281982E-12,5.1143092E-12,6.7425074E-12
1.9680000E-05,1.2659351E-12,3.5784741E-12,4.8444093E-12
1.9920000E-05,1.0409912E-12,2.8366935E-12,3.8776847E-12
2.0200000E-05,8.6212648E-13,2.3526346E-12,3.2147610E-12
2.0530000E-05,7.3860567E-13,1.9014831E-12,2.6400887E-12
2.0880000E-05,6.1997719E-13,1.2982232E-12,1.9182004E-12
2.1190000E-05,5.1832049E-13,8.6843251E-13,1.3867530E-12
2.1650000E-05,4.1178111E-13,5.7514113E-13,9.8692224E-13
2.2030000E-05,3.5020176E-13,4.6462068E-13,8.1482244E-13
2.2570000E-05,2.8593363E-13,3.6742807E-13,6.5336170E-13
2.3420000E-05,2.1736715E-13,2.7536331E-13,4.9273046E-13
2.4210000E-05,1.7357810E-13,2.2096756E-13,3.9454566E-13
2.5000000E-05,1.4162569E-13,1.8377673E-13,3.2540242E-13
